num_stas,policy,seed,pdr,tput_kbps,avg_delay_ms,p95_delay_ms,drop_rate,fairness,col_rate,retry_rate,raw_fit_pass,e_total_mj,e_tx_mj,e_rx_mj,e_idle_mj,e_sleep_mj,ee_kbit_j,e_per_pkt_uj,assoc_mean_ms,assoc_max_ms,assoc_scan_ms,assoc_auth_ms,assoc_req_ms,assoc_frac
200,no_raw,7,0.246667,10.103467,2797.952689,4899.376667,0.753333,0.965998,0.922723,0.850469,1.0,2559.197452,101.663808,101.605633,2355.928011,0.0,2.368743,432296.866847,10611.60384,24645.064,7.1,1500.361667,9104.142173,1.0
200,no_raw,99,0.24375,9.984,2760.921593,4844.589081,0.75625,0.96701,0.922742,0.851427,1.0,2559.212817,101.684616,101.601012,2355.927189,0.0,2.34072,437472.276467,10681.874333,25000.661333,7.1,1517.446367,9157.327967,1.0
200,static,42,0.474375,19.4304,3170.451969,8356.159123,0.525625,0.744868,0.470493,0.470314,1.0,442.989476,44.465616,102.321187,243.232163,52.970509,26.317194,38909.92322,3199.984033,3935.788,7.1,1506.4168,1686.467233,1.0
200,static,7,0.466667,19.114667,3193.580824,8080.948413,0.533333,0.721044,0.479771,0.479234,1.0,443.925684,44.559456,102.313012,244.104715,52.948501,25.834955,39636.221773,3231.9189,3960.446667,7.1,1510.32128,1714.49762,1.0
200,static,99,0.475208,19.464533,3167.302296,8518.869701,0.524792,0.727544,0.473637,0.472561,1.0,442.749249,44.482872,102.316211,242.973191,52.976976,26.37773,38820.626869,3198.02166,3942.204,7.1,1516.17786,1674.7438,1.0
200,adaptive,42,0.977708,40.046933,1561.835831,4006.916155,0.022292,0.997954,0.366393,0.366393,1.0,491.882568,72.031752,103.222295,264.26774,52.36078,48.849383,20962.393694,3559.204147,5076.857333,7.1,1513.073267,2039.03088,1.0
200,adaptive,7,0.98875,40.4992,1552.300549,3861.21011,0.01125,0.999153,0.358674,0.358674,1.0,492.42297,71.914464,103.246823,264.917007,52.344677,49.346845,20751.07334,3638.513867,5164.289333,7.1,1500.692373,2130.721493,1.0
200,adaptive,99,0.984167,40.311467,1530.076447,3873.868562,0.015833,0.99863,0.355859,0.355859,1.0,487.864942,71.38404,103.236159,260.795469,52.449275,49.576999,20654.739309,3620.438253,5142.917333,7.1,1517.34302,2095.995233,1.0
200,cluster_csv,42,0.507708,20.795733,2703.679719,8857.160467,0.492292,0.651331,0.408849,0.40752,1.0,438.033488,41.675328,102.382683,240.940419,53.035058,28.485128,35948.583324,3252.6607,4120.904,7.1,1512.013747,1733.546953,1.0
200,cluster_csv,7,0.50125,20.5312,2667.705385,9020.179184,0.49875,0.651397,0.411597,0.410646,1.0,436.036814,41.626488,102.378773,238.946479,53.085074,28.25156,36245.78669,3178.325573,3969.770667,7.1,1509.924533,1661.30104,1.0
200,cluster_csv,99,0.499583,20.462933,2763.241554,8918.870005,0.500417,0.657039,0.420369,0.418863,1.0,438.053943,42.114096,102.36491,240.530712,53.044225,28.027964,36534.941023,3193.621827,3999.48,7.1,1510.636007,1675.88582,1.0
