policy,num_stas,packet_interval,n_seeds,pdr_mean,pdr_ci_lo,pdr_ci_hi,tput_kbps_mean,tput_kbps_ci_lo,tput_kbps_ci_hi,avg_delay_ms_mean,avg_delay_ms_ci_lo,avg_delay_ms_ci_hi,p95_delay_ms_mean,p95_delay_ms_ci_lo,p95_delay_ms_ci_hi,drop_rate_mean,drop_rate_ci_lo,drop_rate_ci_hi,fairness_mean,fairness_ci_lo,fairness_ci_hi,col_rate_mean,col_rate_ci_lo,col_rate_ci_hi,retry_rate_mean,retry_rate_ci_lo,retry_rate_ci_hi,raw_fit_pass_mean,raw_fit_pass_ci_lo,raw_fit_pass_ci_hi,assoc_mean_ms_mean,assoc_mean_ms_ci_lo,assoc_mean_ms_ci_hi,assoc_max_ms_mean,assoc_max_ms_ci_lo,assoc_max_ms_ci_hi,assoc_scan_ms_mean,assoc_scan_ms_ci_lo,assoc_scan_ms_ci_hi,assoc_auth_ms_mean,assoc_auth_ms_ci_lo,assoc_auth_ms_ci_hi,assoc_req_ms_mean,assoc_req_ms_ci_lo,assoc_req_ms_ci_hi,assoc_frac_mean,assoc_frac_ci_lo,assoc_frac_ci_hi,e_total_mj_mean,e_total_mj_ci_lo,e_total_mj_ci_hi,e_tx_mj_mean,e_tx_mj_ci_lo,e_tx_mj_ci_hi,e_rx_mj_mean,e_rx_mj_ci_lo,e_rx_mj_ci_hi,e_idle_mj_mean,e_idle_mj_ci_lo,e_idle_mj_ci_hi,e_sleep_mj_mean,e_sleep_mj_ci_lo,e_sleep_mj_ci_hi,e_retx_mj_mean,e_retx_mj_ci_lo,e_retx_mj_ci_hi,retx_energy_pct_mean,retx_energy_pct_ci_lo,retx_energy_pct_ci_hi,avg_tx_retries_mean,avg_tx_retries_ci_lo,avg_tx_retries_ci_hi,ee_kbit_j_mean,ee_kbit_j_ci_lo,ee_kbit_j_ci_hi,e_per_pkt_uj_mean,e_per_pkt_uj_ci_lo,e_per_pkt_uj_ci_hi
chang2019,800,5.0,1,0.068333,0.068333,0.068333,11.195733,11.195733,11.195733,4148.826621,4148.826621,4148.826621,11154.843757,11154.843757,11154.843757,0.931667,0.931667,0.931667,0.657202,0.657202,0.657202,0.615571,0.615571,0.615571,0.607418,0.607418,0.607418,1.0,1.0,1.0,53376.098763,53376.098763,53376.098763,87979.337333,87979.337333,87979.337333,20250.613825,20250.613825,20250.613825,16068.02006,16068.02006,16068.02006,17034.313118,17034.313118,17034.313118,1.0,1.0,1.0,1589.163324,1589.163324,1589.163324,20.049198,20.049198,20.049198,102.344677,102.344677,102.344677,1443.744104,1443.744104,1443.744104,23.025345,23.025345,23.025345,13.041234,13.041234,13.041234,0.820635,0.820635,0.820635,9.51625,9.51625,9.51625,1.056757,1.056757,1.056757,969002.02686,969002.02686,969002.02686
etaroa,800,5.0,1,0.135833,0.135833,0.135833,22.254933,22.254933,22.254933,4071.097508,4071.097508,4071.097508,11775.172337,11775.172337,11775.172337,0.864167,0.864167,0.864167,0.592313,0.592313,0.592313,0.519689,0.519689,0.519689,0.518703,0.518703,0.518703,1.0,1.0,1.0,57028.185423,57028.185423,57028.185423,99496.16,99496.16,99496.16,20250.722252,20250.722252,20250.722252,17013.19538,17013.19538,17013.19538,19744.53004,19744.53004,19744.53004,1.0,1.0,1.0,1336.297121,1336.297121,1336.297121,19.354854,19.354854,19.354854,102.563473,102.563473,102.563473,1184.881725,1184.881725,1184.881725,29.497069,29.497069,29.497069,8.991054,8.991054,8.991054,0.672833,0.672833,0.672833,7.36375,7.36375,7.36375,2.498127,2.498127,2.498127,409907.092282,409907.092282,409907.092282
no_raw,1000,5.0,1,0.016375,0.016375,0.016375,3.3536,3.3536,3.3536,2467.584001,2467.584001,2467.584001,4794.709398,4794.709398,4794.709398,0.983625,0.983625,0.983625,0.985887,0.985887,0.985887,0.982576,0.982576,0.982576,0.871286,0.871286,0.871286,1.0,1.0,1.0,3069.616,3069.616,3069.616,4943.472,4943.472,4943.472,1740.952044,1740.952044,1740.952044,603.222156,603.222156,603.222156,725.4418,725.4418,725.4418,0.06,0.06,0.06,2485.588454,2485.588454,2485.588454,19.112602,19.112602,19.112602,101.265891,101.265891,101.265891,2365.209961,2365.209961,2365.209961,0.0,0.0,0.0,15.77557,15.77557,15.77557,0.634681,0.634681,0.634681,26.151,26.151,26.151,0.161906,0.161906,0.161906,6324652.554504,6324652.554504,6324652.554504
static,1000,5.0,1,0.104542,0.104542,0.104542,21.410133,21.410133,21.410133,3526.858646,3526.858646,3526.858646,8511.23991,8511.23991,8511.23991,0.895458,0.895458,0.895458,0.658387,0.658387,0.658387,0.532755,0.532755,0.532755,0.531464,0.531464,0.531464,1.0,1.0,1.0,32893.465564,32893.465564,32893.465564,116320.938667,116320.938667,116320.938667,12524.303671,12524.303671,12524.303671,5472.035031,5472.035031,5472.035031,14894.700755,14894.700755,14894.700755,0.491,0.491,0.491,1705.763391,1705.763391,1705.763391,15.70621,15.70621,15.70621,102.297079,102.297079,102.297079,1567.824316,1567.824316,1567.824316,19.935787,19.935787,19.935787,7.536206,7.536206,7.536206,0.441808,0.441808,0.441808,6.597,6.597,6.597,1.506197,1.506197,1.506197,679857.868175,679857.868175,679857.868175
adaptive,1000,5.0,1,0.097917,0.097917,0.097917,20.053333,20.053333,20.053333,4905.85347,4905.85347,4905.85347,15243.533381,15243.533381,15243.533381,0.902083,0.902083,0.902083,0.557075,0.557075,0.557075,0.502074,0.502074,0.502074,0.501221,0.501221,0.501221,1.0,1.0,1.0,69081.13734,69081.13734,69081.13734,113975.161333,113975.161333,113975.161333,25249.864707,25249.864707,25249.864707,21022.784939,21022.784939,21022.784939,22794.866104,22794.866104,22794.866104,1.0,1.0,1.0,1549.63299,1549.63299,1549.63299,14.852035,14.852035,14.852035,102.473094,102.473094,102.473094,1408.385141,1408.385141,1408.385141,23.92272,23.92272,23.92272,6.84036,6.84036,6.84036,0.441418,0.441418,0.441418,6.133,6.133,6.133,1.552884,1.552884,1.552884,659418.293722,659418.293722,659418.293722
cluster_csv,1000,5.0,1,0.099458,0.099458,0.099458,20.369067,20.369067,20.369067,5295.618502,5295.618502,5295.618502,16781.650111,16781.650111,16781.650111,0.900542,0.900542,0.900542,0.513844,0.513844,0.513844,0.493842,0.493842,0.493842,0.492662,0.492662,0.492662,1.0,1.0,1.0,70226.988608,70226.988608,70226.988608,113976.172,113976.172,113976.172,25249.953083,25249.953083,25249.953083,21158.590224,21158.590224,21158.590224,23803.989355,23803.989355,23803.989355,1.0,1.0,1.0,1572.277832,1572.277832,1572.277832,14.666558,14.666558,14.666558,102.512181,102.512181,102.512181,1431.760559,1431.760559,1431.760559,23.338534,23.338534,23.338534,6.621936,6.621936,6.621936,0.421168,0.421168,0.421168,6.11,6.11,6.11,1.554616,1.554616,1.554616,658683.633201,658683.633201,658683.633201
cluster_adaptive,1000,5.0,1,0.094708,0.094708,0.094708,19.396267,19.396267,19.396267,5357.913053,5357.913053,5357.913053,16690.399773,16690.399773,16690.399773,0.905292,0.905292,0.905292,0.57032,0.57032,0.57032,0.505548,0.505548,0.505548,0.504865,0.504865,0.504865,1.0,1.0,1.0,64137.375225,64137.375225,64137.375225,113478.346667,113478.346667,113478.346667,25249.580732,25249.580732,25249.580732,17721.526676,17721.526676,17721.526676,21158.119817,21158.119817,21158.119817,1.0,1.0,1.0,1457.018149,1457.018149,1457.018149,14.896541,14.896541,14.896541,102.463027,102.463027,102.463027,1313.360283,1313.360283,1313.360283,26.298299,26.298299,26.298299,7.089206,7.089206,7.089206,0.486556,0.486556,0.486556,6.258,6.258,6.258,1.597476,1.597476,1.597476,641011.064419,641011.064419,641011.064419
laca,1000,5.0,1,0.097625,0.097625,0.097625,19.9936,19.9936,19.9936,5428.048776,5428.048776,5428.048776,17056.508982,17056.508982,17056.508982,0.902375,0.902375,0.902375,0.626851,0.626851,0.626851,0.492376,0.492376,0.492376,0.491675,0.491675,0.491675,0.980584,0.980584,0.980584,64708.509877,64708.509877,64708.509877,100906.848,100906.848,100906.848,25250.048343,25250.048343,25250.048343,18868.6697,18868.6697,18868.6697,20579.321065,20579.321065,20579.321065,1.0,1.0,1.0,1467.854615,1467.854615,1467.854615,14.350531,14.350531,14.350531,102.441512,102.441512,102.441512,1325.054949,1325.054949,1325.054949,26.007622,26.007622,26.007622,6.419467,6.419467,6.419467,0.437337,0.437337,0.437337,5.859,5.859,5.859,1.634516,1.634516,1.634516,626485.110975,626485.110975,626485.110975
chang2019,1000,5.0,1,0.055917,0.055917,0.055917,11.451733,11.451733,11.451733,4948.527745,4948.527745,4948.527745,14569.198755,14569.198755,14569.198755,0.944083,0.944083,0.944083,0.753541,0.753541,0.753541,0.576028,0.576028,0.576028,0.570411,0.570411,0.570411,1.0,1.0,1.0,64392.085849,64392.085849,64392.085849,106978.32,106978.32,106978.32,25250.035619,25250.035619,25250.035619,19014.974735,19014.974735,19014.974735,20107.467797,20107.467797,20107.467797,1.0,1.0,1.0,1746.844557,1746.844557,1746.844557,15.493867,15.493867,15.493867,102.294218,102.294218,102.294218,1610.178936,1610.178936,1610.178936,18.877535,18.877535,18.877535,9.397848,9.397848,9.397848,0.53799,0.53799,0.53799,7.387,7.387,7.387,0.78668,0.78668,0.78668,1301672.545933,1301672.545933,1301672.545933
etaroa,1000,5.0,1,0.095417,0.095417,0.095417,19.541333,19.541333,19.541333,4776.026211,4776.026211,4776.026211,14439.453775,14439.453775,14439.453775,0.904583,0.904583,0.904583,0.553715,0.553715,0.553715,0.503592,0.503592,0.503592,0.502526,0.502526,0.502526,1.0,1.0,1.0,71086.083925,71086.083925,71086.083925,118485.686667,118485.686667,118485.686667,25249.484688,25249.484688,25249.484688,21662.233635,21662.233635,21662.233635,24161.78232,24161.78232,24161.78232,1.0,1.0,1.0,1587.550129,1587.550129,1587.550129,14.807434,14.807434,14.807434,102.49634,102.49634,102.49634,1447.296482,1447.296482,1447.296482,22.949873,22.949873,22.949873,6.824246,6.824246,6.824246,0.42986,0.42986,0.42986,6.218,6.218,6.218,1.477094,1.477094,1.477094,693253.33135,693253.33135,693253.33135
