policy,n,pdr_mean,pdr_ci_lo,pdr_ci_hi,tput_kbps_mean,tput_kbps_ci_lo,tput_kbps_ci_hi,avg_delay_ms_mean,avg_delay_ms_ci_lo,avg_delay_ms_ci_hi,p95_delay_ms_mean,p95_delay_ms_ci_lo,p95_delay_ms_ci_hi,drop_rate_mean,drop_rate_ci_lo,drop_rate_ci_hi,fairness_mean,fairness_ci_lo,fairness_ci_hi,col_rate_mean,col_rate_ci_lo,col_rate_ci_hi,retry_rate_mean,retry_rate_ci_lo,retry_rate_ci_hi,raw_fit_pass_mean,raw_fit_pass_ci_lo,raw_fit_pass_ci_hi,e_total_mj_mean,e_total_mj_ci_lo,e_total_mj_ci_hi,e_sleep_mj_mean,e_sleep_mj_ci_lo,e_sleep_mj_ci_hi,e_idle_mj_mean,e_idle_mj_ci_lo,e_idle_mj_ci_hi,ee_kbit_j_mean,ee_kbit_j_ci_lo,ee_kbit_j_ci_hi,e_per_pkt_uj_mean,e_per_pkt_uj_ci_lo,e_per_pkt_uj_ci_hi
tab_ddqn,200,0.920903,0.888729,0.953077,37.720178,36.402326,39.03803,2035.335751,1958.873086,2111.798416,4906.272633,4873.77252,4938.772747,0.079097,0.046923,0.111271,0.993893,0.987246,1.00054,0.347273,0.227193,0.467353,0.347273,0.227193,0.467353,1.0,1.0,1.0,454.796179,432.016848,477.575509,53.160627,52.607621,53.713634,233.038,210.802521,255.27348,49.77369,47.246248,52.301132,20578.90435,19523.928546,21633.880153
dqn,200,0.937222,0.827226,1.047218,38.388622,33.883186,42.894058,2360.179479,1788.974719,2931.38424,5299.882004,3859.989483,6739.774526,0.062778,-0.047218,0.172774,0.995228,0.983989,1.006467,0.243685,0.183756,0.303614,0.243685,0.183756,0.303614,1.0,1.0,1.0,463.39727,441.988822,484.805718,52.743365,52.2385,53.248231,250.678394,230.669529,270.687258,49.71811,43.3785,56.05772,20633.457415,17922.350988,23344.563842
ddqn,200,0.845625,0.712405,0.978845,34.6368,29.180114,40.093486,2444.741749,1890.91415,2998.569349,6618.49051,3035.034682,10201.946337,0.154375,0.021155,0.287595,0.987273,0.970317,1.004229,0.308481,0.202707,0.414255,0.308481,0.202707,0.414255,1.0,1.0,1.0,406.214964,310.228868,502.201061,54.216054,51.812196,56.619911,191.77622,95.790104,287.762337,51.344695,41.796742,60.892647,20016.676342,16378.083756,23655.268929
ppo,200,0.948611,0.901115,0.996107,38.855111,36.909662,40.80056,2087.002537,2025.501665,2148.50341,4928.892723,4854.835917,5002.949528,0.051389,0.003893,0.098885,0.997545,0.996728,0.998362,0.240157,0.204222,0.276091,0.240157,0.204222,0.276091,1.0,1.0,1.0,459.994997,451.247055,468.74294,52.845884,52.620206,53.071563,246.496623,237.479352,255.513895,50.677982,49.068906,52.287059,20208.230544,19561.830542,20854.630547
no_raw,400,0.128958,0.125042,0.132874,10.564267,10.243457,10.885076,2869.23342,2857.780855,2880.685985,5038.317637,4957.354177,5119.281097,0.871042,0.867126,0.874958,0.877455,0.872709,0.8822,0.865654,0.864284,0.867023,0.803964,0.801139,0.80679,1.0,1.0,1.0,2513.447082,2513.42608,2513.468083,0.0,0.0,0.0,2361.654629,2361.653475,2361.655784,1.26093,1.222629,1.299231,812180.581283,787375.874486,836985.28808
static,400,0.365764,0.363856,0.367671,29.963378,29.807112,30.119643,3288.725823,3176.821228,3400.630418,8846.518064,8446.653943,9246.382185,0.634236,0.632329,0.636144,0.67008,0.665719,0.674442,0.490109,0.487695,0.492523,0.489474,0.486854,0.492095,1.0,1.0,1.0,467.531435,456.57446,478.488411,52.163295,51.882386,52.444203,276.433143,265.196872,287.669415,19.227612,18.794353,19.660871,53259.675486,52055.335746,54464.015225
laca,400,0.383507,0.379622,0.387392,31.416889,31.098658,31.73512,3749.320755,3554.868639,3943.772871,9313.477851,8797.060491,9829.895211,0.616493,0.612608,0.620378,0.752106,0.741016,0.763196,0.481763,0.479527,0.483999,0.481278,0.478926,0.483631,1.0,1.0,1.0,479.342441,470.680847,488.004035,51.879409,51.659224,52.099594,287.688869,278.892339,296.485398,19.662839,19.462163,19.863514,52078.518637,51546.830764,52610.20651
tabular,400,0.479132,0.3849,0.573364,39.250489,31.530998,46.969979,4143.234403,3760.907466,4525.56134,10195.306272,9482.538019,10908.074526,0.520868,0.426636,0.6151,0.855071,0.795005,0.915138,0.383132,0.279582,0.486682,0.383099,0.279616,0.486581,1.0,1.0,1.0,438.453547,397.272761,479.634332,52.929567,51.926296,53.932839,245.634143,205.73946,285.528827,26.901019,20.172275,33.629763,38310.149513,29254.060726,47366.2383
tab_ddqn,400,0.510521,0.44965,0.571391,41.821867,36.835342,46.808392,3969.208646,3751.11612,4187.301171,9942.112832,9904.875432,9979.350231,0.489479,0.428609,0.55035,0.859019,0.811187,0.906852,0.382346,0.348127,0.416565,0.382314,0.347973,0.416655,1.0,1.0,1.0,436.140113,422.432598,449.847627,53.044679,52.646809,53.442549,240.743581,224.579647,256.907515,28.781354,24.462169,33.100538,35662.902614,30460.636624,40865.168604
dqn,400,0.457778,0.36185,0.553705,37.501156,29.64278,45.359532,3954.992658,3627.326834,4282.658483,10317.465278,9242.667462,11392.263094,0.542222,0.446295,0.63815,0.844138,0.825417,0.86286,0.395371,0.392558,0.398184,0.395336,0.392642,0.398029,1.0,1.0,1.0,417.683037,369.863045,465.503029,53.456152,52.302416,54.609888,224.606658,178.782153,270.431163,26.934154,22.269718,31.598589,38138.358667,31736.684634,44540.0327
ddqn,400,0.496146,0.458788,0.533503,40.644267,37.583939,43.704594,3969.045785,3420.387849,4517.703721,9337.462745,7941.367144,10733.558347,0.503854,0.466497,0.541212,0.845594,0.819784,0.871404,0.392156,0.371214,0.413099,0.392124,0.371307,0.412941,1.0,1.0,1.0,441.401896,430.102325,452.701467,52.905472,52.533697,53.277247,246.338056,231.048947,261.627165,27.631647,24.855866,30.407428,37099.941446,33322.089707,40877.793185
ppo,400,0.566076,0.546381,0.585772,46.372978,44.759525,47.98643,4114.213377,3936.331253,4292.095501,10850.231852,10421.360945,11279.102758,0.433924,0.414228,0.453619,0.942356,0.932254,0.952458,0.234995,0.179246,0.290745,0.234995,0.179246,0.290745,1.0,1.0,1.0,408.867027,391.643713,426.09034,53.625392,53.209678,54.041105,218.068072,201.559722,234.576422,34.033474,31.947766,36.119182,30100.361295,28236.581861,31964.140729
no_raw,600,0.085417,0.083753,0.08708,10.496,10.291558,10.700442,2944.927091,2915.241293,2974.612889,5043.571906,5009.106047,5078.037764,0.914583,0.91292,0.916247,0.806494,0.791634,0.821355,0.817382,0.81503,0.819734,0.764382,0.76232,0.766443,1.0,1.0,1.0,2498.236226,2498.229812,2498.242639,0.0,0.0,0.0,2363.565272,2363.564863,2363.565681,0.840273,0.823907,0.856639,1218701.557819,1195060.0665,1242343.049139
static,600,0.262338,0.260251,0.264425,32.236089,31.97964,32.492538,3694.94048,3489.578763,3900.302197,9064.984461,8489.049485,9640.919438,0.737662,0.735575,0.739749,0.718404,0.688344,0.748465,0.498065,0.495859,0.500271,0.497661,0.495302,0.50002,1.0,1.0,1.0,510.548836,505.196617,515.901056,50.87645,50.739668,51.013232,328.843588,323.374795,334.31238,12.628162,12.463288,12.793035,81090.09366,80033.211736,82146.975584
laca,600,0.222361,0.213809,0.230913,27.323733,26.272904,28.374562,4974.480898,4850.944156,5098.017639,13134.54787,12691.865792,13577.229948,0.777639,0.769087,0.786191,0.654995,0.636773,0.673217,0.507305,0.494047,0.520563,0.506951,0.494443,0.519459,1.0,1.0,1.0,501.72298,497.725943,505.720016,51.02098,50.917736,51.124224,323.480321,319.344578,327.616065,10.892266,10.412365,11.372167,94031.268096,89910.94669,98151.589502
tabular,600,0.322639,0.282996,0.362282,39.645867,34.774504,44.51723,5292.649738,4904.53561,5680.763866,13887.182033,13045.795374,14728.568692,0.677361,0.637718,0.717004,0.788409,0.779268,0.797549,0.386827,0.361829,0.411826,0.386827,0.361829,0.411826,1.0,1.0,1.0,448.250177,443.451548,453.048806,52.429696,52.291741,52.567651,266.904557,261.276437,272.532676,17.690556,15.42059,19.960522,57988.695493,50431.904966,65545.486019
tab_ddqn,600,0.296204,0.187447,0.404961,36.397511,23.033428,49.761594,5544.452946,4456.272365,6632.633527,14709.52089,12159.259515,17259.782265,0.703796,0.595039,0.812553,0.769917,0.727046,0.812788,0.395064,0.324984,0.465144,0.395064,0.324984,0.465144,1.0,1.0,1.0,444.096574,434.792861,453.400287,52.49759,52.133717,52.861464,264.38872,249.163427,279.614014,16.405868,10.047159,22.764577,63431.611944,39092.747891,87770.475997
dqn,600,0.337199,0.329313,0.345085,41.435022,40.466001,42.404043,5256.858192,4636.987265,5876.729118,13985.556898,11915.752599,16055.361196,0.662801,0.654915,0.670687,0.785604,0.74156,0.829647,0.349481,0.286173,0.412789,0.349481,0.286173,0.412789,1.0,1.0,1.0,453.02117,433.421914,472.620427,52.292714,51.806237,52.779192,272.448082,253.046083,291.850081,18.298113,17.128117,19.46811,55986.843704,52397.131965,59576.555442
ddqn,600,0.340023,0.303454,0.376593,41.782044,37.288394,46.275695,5582.831418,4818.103303,6347.559532,15806.691592,14788.922902,16824.460283,0.659977,0.623407,0.696546,0.826137,0.802869,0.849405,0.293095,0.276682,0.309507,0.293095,0.276682,0.309507,1.0,1.0,1.0,434.322207,420.593681,448.050734,52.719753,52.395884,53.043623,255.620465,242.783683,268.457247,19.239563,17.311827,21.167298,53280.152062,48060.605552,58499.698572
ppo,600,0.416991,0.408275,0.425707,51.239822,50.168801,52.310844,5083.222914,4753.122138,5413.323691,14999.89725,14530.865566,15468.928934,0.583009,0.574293,0.591725,0.893667,0.871549,0.915785,0.215718,0.193689,0.237746,0.215718,0.193689,0.237746,1.0,1.0,1.0,413.922187,412.10726,415.737113,53.279709,53.226034,53.333383,233.009803,230.802241,235.217364,24.758429,24.154425,25.362433,41362.314719,40351.720454,42372.908984
no_raw,800,0.063299,0.062363,0.064235,10.370844,10.217482,10.524207,2849.52997,2777.837423,2921.222517,5015.971183,4902.875285,5129.067082,0.936701,0.935765,0.937637,0.799304,0.782962,0.815647,0.77681,0.774364,0.779257,0.726499,0.725338,0.727661,1.0,1.0,1.0,2490.673366,2490.667234,2490.679497,0.0,0.0,0.0,2364.520172,2364.519548,2364.520795,0.624581,0.615344,0.633817,1639538.607102,1615210.302591,1663866.911613
