mode,n,seed,pdr,tput_kbps,avg_delay_ms,p95_delay_ms,drop_rate,fairness,col_rate,retry_rate,e_total_mj,e_sleep_mj,e_idle_mj,ee_kbit_j,e_per_pkt_uj
ddqn,600,7,0.290833,35.7376,5666.788771,14959.276674,0.709167,0.763005,0.386972,0.386874,447.159545,52.406087,268.113916,15.984272,64062.972057
ddqn,600,99,0.255278,31.368533,7224.440781,25422.132822,0.744722,0.774045,0.342489,0.342489,417.218672,53.075979,241.807662,15.036975,68098.803932
ddqn,800,42,0.244062,39.9872,7735.911218,26804.265437,0.755938,0.830004,0.232803,0.232803,451.263325,52.110416,280.884366,13.291752,77040.260383
ddqn,800,7,0.174531,28.5952,6780.998937,18993.018827,0.825469,0.712404,0.477411,0.477232,514.906814,50.547633,343.094384,8.330206,122926.126822
ddqn,800,99,0.172708,28.296533,6633.779997,18022.789375,0.827292,0.703005,0.47533,0.475149,515.022253,50.537982,343.513598,8.241353,124251.448236
ddqn,1000,42,0.1625,33.28,7735.45634,22478.530298,0.8375,0.696237,0.323906,0.323906,589.918313,48.494968,425.83062,6.769751,151261.105882
ddqn,1000,7,0.163333,33.450667,7516.069635,21234.120878,0.836667,0.693304,0.397205,0.397205,582.371545,48.733179,416.086339,6.892644,148564.169712
ddqn,1000,99,0.177375,36.3264,6982.745977,20063.496186,0.822625,0.727705,0.371277,0.371277,613.101797,47.949556,447.403699,7.110023,144022.033692
ppo,100,42,0.98875,20.2496,1031.098597,2931.167757,0.01125,0.999473,0.219093,0.219093,410.996213,54.120891,195.385128,59.123464,17319.688712
ppo,100,7,0.95125,19.4816,1746.521523,3640.158955,0.04875,0.998198,0.039384,0.039384,360.164185,55.111252,157.314411,64.909064,15775.917015
ppo,100,99,1.0,20.48,973.632178,1996.694731,0.0,1.0,0.200685,0.200685,378.139937,54.942978,162.599454,64.991813,15755.830702
ppo,200,42,0.886875,36.3264,2520.342816,6643.421605,0.113125,0.993719,0.293008,0.293008,446.833943,53.187323,232.849243,48.778389,20992.90313
ppo,200,7,0.927083,37.973333,2105.493736,4980.898241,0.072917,0.995881,0.296585,0.296585,450.7966,53.166081,233.285653,50.541641,20260.521369
ppo,200,99,0.9425,38.6048,1921.054003,4717.994374,0.0575,0.996988,0.323373,0.323373,471.635287,52.692547,251.932184,49.111847,20850.366351
ppo,400,42,0.208542,17.083733,5412.405864,15710.881268,0.791458,0.682748,0.451949,0.451628,398.749101,53.59285,220.93867,12.852994,79670.150104
ppo,400,7,0.430937,35.3024,3942.463102,9923.19955,0.569063,0.829349,0.435963,0.435963,459.101183,52.408512,266.455357,23.068379,44389.76868
ppo,400,99,0.431771,35.370667,4246.921825,10857.099456,0.568229,0.835572,0.41069,0.410583,439.690918,52.875186,247.936335,24.133316,42430.969126
ppo,600,42,0.204722,25.156267,8343.395928,25482.08196,0.795278,0.795258,0.336831,0.336831,406.077333,53.266822,234.660521,12.38989,82648.032496
ppo,600,7,0.254236,31.240533,5643.805432,15888.399317,0.745764,0.711975,0.427941,0.427941,454.521459,52.205972,276.187347,13.74656,74491.361765
ppo,600,99,0.211389,25.975467,7081.025301,22543.072171,0.788611,0.744467,0.363715,0.363715,422.241833,52.90256,248.978625,12.303597,83227.693765
ppo,800,42,0.183073,29.994667,6968.371168,20386.377684,0.816927,0.680744,0.389671,0.389671,504.977918,50.745572,335.44628,8.909697,114930.96285
ppo,800,7,0.198385,32.503467,6997.311486,19497.273229,0.801615,0.715662,0.398775,0.398775,486.392866,51.249539,315.149308,10.023831,102156.548464
ppo,800,99,0.176771,28.962133,6312.53929,17149.53567,0.823229,0.683403,0.457702,0.457702,543.713638,49.800384,373.023382,7.990088,128158.78318
ppo,1000,42,0.161667,33.109333,8691.77088,24769.764541,0.838333,0.72666,0.38125,0.38125,553.102766,49.459574,387.151152,7.183331,142552.259376
ppo,1000,7,0.1055,21.6064,11458.145574,33800.562474,0.8945,0.689506,0.385189,0.385189,550.886746,49.43397,388.598246,4.706535,217569.805037
ppo,1000,99,0.146917,30.088533,10813.814105,41395.013727,0.853083,0.755878,0.276332,0.276332,533.050592,49.901519,369.826518,6.773511,151177.139001
