condition,policy,num_stas,n_seeds,pdr_mean,pdr_ci_lo,pdr_ci_hi,tput_kbps_mean,tput_kbps_ci_lo,tput_kbps_ci_hi,avg_delay_ms_mean,avg_delay_ms_ci_lo,avg_delay_ms_ci_hi,p95_delay_ms_mean,p95_delay_ms_ci_lo,p95_delay_ms_ci_hi,drop_rate_mean,drop_rate_ci_lo,drop_rate_ci_hi,fairness_mean,fairness_ci_lo,fairness_ci_hi,col_rate_mean,col_rate_ci_lo,col_rate_ci_hi,retry_rate_mean,retry_rate_ci_lo,retry_rate_ci_hi,assoc_mean_ms_mean,assoc_mean_ms_ci_lo,assoc_mean_ms_ci_hi,assoc_frac_mean,assoc_frac_ci_lo,assoc_frac_ci_hi,e_total_mj_mean,e_total_mj_ci_lo,e_total_mj_ci_hi,ee_kbit_j_mean,ee_kbit_j_ci_lo,ee_kbit_j_ci_hi
predicted,cluster_csv,100,3,0.984583,0.979205,0.989962,20.164267,20.05411,20.274423,690.662298,678.764378,702.560219,1708.973226,1466.125795,1951.820657,0.015417,0.010038,0.020795,0.999586,0.999515,0.999657,0.258801,0.236701,0.2809,0.258559,0.23685,0.280268,4365.06488,3981.21599,4748.91377,1.0,1.0,1.0,455.480065,444.273492,466.686638,53.128531,51.576357,54.680704
predicted,cluster_csv,200,3,0.917014,0.909543,0.924484,37.560889,37.254898,37.86688,1455.682141,1416.067745,1495.296537,3667.534106,3555.40165,3779.666563,0.082986,0.075516,0.090457,0.993642,0.992326,0.994959,0.384503,0.377892,0.391113,0.384361,0.377751,0.390971,10155.837601,9218.138061,11093.537141,1.0,1.0,1.0,608.499509,595.590324,621.408694,37.038564,36.00564,38.071488
predicted,cluster_csv,300,3,0.532824,0.532426,0.533223,32.736711,32.712232,32.76119,2663.882775,2570.812772,2756.952778,6586.149421,6142.175617,7030.123224,0.467176,0.466777,0.467574,0.864169,0.834069,0.89427,0.487615,0.486375,0.488856,0.487057,0.485307,0.488806,16891.406545,16165.918659,17616.894431,1.0,1.0,1.0,695.178641,682.914937,707.442345,18.837055,18.509088,19.165023
predicted,cluster_csv,400,3,0.381875,0.372922,0.390828,31.2832,30.54974,32.01666,3137.942407,3037.753721,3238.131094,7741.103586,7398.160159,8084.047013,0.618125,0.609172,0.627078,0.761182,0.736397,0.785967,0.50476,0.495307,0.514212,0.503739,0.493971,0.513508,24613.3092,23794.834632,25431.783768,1.0,1.0,1.0,796.453721,780.64401,812.263431,11.784142,11.363862,12.204423
predicted,cluster_csv,500,3,0.265472,0.262455,0.268489,27.184356,26.875441,27.49327,3533.21306,3466.315465,3600.110656,9421.492869,8521.502138,10321.483601,0.734528,0.731511,0.737545,0.656078,0.62711,0.685046,0.508891,0.505404,0.512377,0.508278,0.504885,0.511671,30858.1376,30659.947496,31056.327704,1.0,1.0,1.0,883.03457,879.240957,886.828183,7.388463,7.290508,7.486418
predicted,cluster_csv,600,3,0.195301,0.186612,0.20399,23.998578,22.930919,25.066237,4035.470736,4018.91837,4052.023102,10566.107149,9828.621042,11303.593256,0.804699,0.79601,0.813388,0.661988,0.629632,0.694344,0.52324,0.517791,0.52869,0.52241,0.517056,0.527764,37658.431362,35830.324489,39486.538235,1.0,1.0,1.0,993.562539,959.588904,1027.536174,4.832228,4.449239,5.215218
predicted,cluster_csv,800,3,0.132344,0.130352,0.134336,21.6832,21.356835,22.009565,4746.260303,4532.278659,4960.241947,13442.026038,12679.558405,14204.493671,0.867656,0.865664,0.869648,0.594271,0.589051,0.59949,0.518456,0.514523,0.522389,0.517311,0.513692,0.52093,52302.800739,50226.414613,54379.186866,1.0,1.0,1.0,1247.423209,1208.439249,1286.407168,2.60756,2.539632,2.675488
predicted,cluster_csv,1000,3,0.09525,0.092315,0.098185,19.5072,18.906085,20.108315,5302.512715,5117.222054,5487.803376,16387.288803,15518.761275,17255.816331,0.90475,0.901815,0.907685,0.582012,0.544884,0.619139,0.502711,0.497847,0.507576,0.501951,0.496682,0.50722,65549.501018,63946.669385,67152.332652,1.0,1.0,1.0,1483.765002,1453.292689,1514.237315,1.577618,1.559406,1.59583
predicted,cluster_adaptive,100,3,0.985,0.979523,0.990477,20.1728,20.060622,20.284978,719.371404,707.625463,731.117346,1837.063749,1788.821807,1885.305692,0.015,0.009523,0.020477,0.999591,0.999515,0.999667,0.269328,0.254949,0.283707,0.269087,0.254699,0.283475,4209.037751,3519.010682,4899.06482,1.0,1.0,1.0,424.576795,409.475097,439.678492,57.024331,54.665265,59.383398
predicted,cluster_adaptive,200,3,0.923472,0.921891,0.925053,37.825422,37.760656,37.890188,1442.5895,1416.613974,1468.565026,3606.332485,3545.362651,3667.302319,0.076528,0.074947,0.078109,0.998185,0.997617,0.998753,0.384835,0.369998,0.399673,0.384588,0.369419,0.399757,9035.72996,8402.671609,9668.788311,1.0,1.0,1.0,577.139153,572.217726,582.060581,39.323958,39.055607,39.59231
predicted,cluster_adaptive,300,3,0.610231,0.604434,0.616029,37.492622,37.136409,37.848836,2375.354663,2311.159779,2439.549547,5782.577116,5274.416157,6290.738076,0.389769,0.383971,0.395566,0.915203,0.87133,0.959076,0.466739,0.460129,0.473348,0.466431,0.459089,0.473774,14648.313797,13469.87439,15826.753204,1.0,1.0,1.0,646.396064,623.973396,668.818731,23.204566,22.241944,24.167188
predicted,cluster_adaptive,400,3,0.392639,0.389403,0.395875,32.164978,31.899911,32.430045,2976.72233,2892.135378,3061.309281,7510.885593,7314.788007,7706.983178,0.607361,0.604125,0.610597,0.790445,0.765802,0.815088,0.508245,0.50784,0.508651,0.507552,0.506828,0.508275,20901.577438,18564.459402,23238.695473,1.0,1.0,1.0,723.266343,679.961262,766.571425,13.347194,12.471849,14.22254
predicted,cluster_adaptive,500,3,0.279944,0.27314,0.286749,28.666311,27.969511,29.363111,3331.146769,3306.305916,3355.987622,8551.600965,8268.340744,8834.861185,0.720056,0.713251,0.72686,0.709936,0.684482,0.73539,0.516508,0.50575,0.527266,0.515946,0.50523,0.526661,27175.774525,26604.769219,27746.779831,1.0,1.0,1.0,813.423026,802.85867,823.987383,8.458029,8.262988,8.653069
predicted,cluster_adaptive,600,3,0.2125,0.209277,0.215723,26.112,25.715957,26.508043,3701.120492,3558.011642,3844.229342,9455.444713,9068.560805,9842.328622,0.7875,0.784277,0.790723,0.701296,0.668176,0.734417,0.527242,0.52482,0.529664,0.526579,0.52449,0.528669,32712.378136,32522.821371,32901.934901,1.0,1.0,1.0,899.995856,895.690479,904.301232,5.80275,5.688357,5.917143
predicted,cluster_adaptive,800,3,0.132917,0.130391,0.135442,21.777067,21.363265,22.190868,4551.375262,4315.479183,4787.271341,13436.584737,12814.18512,14058.984354,0.867083,0.864558,0.869609,0.693394,0.681355,0.705434,0.52483,0.523868,0.525793,0.524413,0.52306,0.525765,44362.788047,44079.217414,44646.358681,1.0,1.0,1.0,1096.551211,1091.509155,1101.593267,2.978919,2.935478,3.022361
predicted,cluster_adaptive,1000,3,0.092472,0.091161,0.093783,18.938311,18.669875,19.206747,5245.449349,5105.799665,5385.099034,16188.516844,15191.818007,17185.215681,0.907528,0.906217,0.908839,0.697924,0.669873,0.725976,0.513806,0.511747,0.515866,0.513028,0.510914,0.515142,57831.426145,56791.031888,58871.820402,0.989,0.949956,1.028044,1350.361547,1316.028746,1384.694348,1.683069,1.635081,1.731056
oracle,cluster_csv,100,3,0.984583,0.979205,0.989962,20.164267,20.05411,20.274423,690.662298,678.764378,702.560219,1708.973226,1466.125795,1951.820657,0.015417,0.010038,0.020795,0.999586,0.999515,0.999657,0.258801,0.236701,0.2809,0.258559,0.23685,0.280268,4365.06488,3981.21599,4748.91377,1.0,1.0,1.0,455.480065,444.273492,466.686638,53.128531,51.576357,54.680704
oracle,cluster_csv,200,3,0.917014,0.909543,0.924484,37.560889,37.254898,37.86688,1455.682141,1416.067745,1495.296537,3667.534106,3555.40165,3779.666563,0.082986,0.075516,0.090457,0.993642,0.992326,0.994959,0.384503,0.377892,0.391113,0.384361,0.377751,0.390971,10155.837601,9218.138061,11093.537141,1.0,1.0,1.0,608.499509,595.590324,621.408694,37.038564,36.00564,38.071488
oracle,cluster_csv,300,3,0.532824,0.532426,0.533223,32.736711,32.712232,32.76119,2663.882775,2570.812772,2756.952778,6586.149421,6142.175617,7030.123224,0.467176,0.466777,0.467574,0.864169,0.834069,0.89427,0.487615,0.486375,0.488856,0.487057,0.485307,0.488806,16891.406545,16165.918659,17616.894431,1.0,1.0,1.0,695.178641,682.914937,707.442345,18.837055,18.509088,19.165023
oracle,cluster_csv,400,3,0.382882,0.377551,0.388213,31.365689,30.928989,31.802389,3142.79487,2948.633809,3336.95593,7796.717715,7312.038328,8281.397102,0.617118,0.611787,0.622449,0.762965,0.741186,0.784745,0.503603,0.501439,0.505767,0.502765,0.50059,0.50494,24567.483697,23502.866245,25632.101149,1.0,1.0,1.0,795.629243,775.88513,815.373355,11.827781,11.418436,12.237126
oracle,cluster_csv,500,3,0.267806,0.261726,0.273885,27.423289,26.800749,28.045829,3592.934688,3400.984962,3784.884413,9437.668419,8731.152625,10144.184213,0.732194,0.726115,0.738274,0.652789,0.645034,0.660543,0.5079,0.503687,0.512114,0.507186,0.502605,0.511766,30782.189791,29944.270967,31620.108616,1.0,1.0,1.0,881.967961,866.30598,897.629941,7.462846,7.191479,7.734212
oracle,cluster_csv,600,3,0.193981,0.189076,0.198887,23.836444,23.233712,24.439177,4023.073084,3904.603909,4141.542258,10594.000922,10271.069193,10916.932651,0.806019,0.801113,0.810924,0.668802,0.648194,0.689409,0.524452,0.519038,0.529866,0.523577,0.518056,0.529097,37608.272191,35670.134316,39546.410066,1.0,1.0,1.0,992.574599,956.768524,1028.380675,4.804102,4.508263,5.099941
oracle,cluster_csv,800,3,0.13125,0.126601,0.135899,21.504,20.742285,22.265715,4738.95892,4549.82003,4928.097811,13689.616165,12369.143508,15010.088822,0.86875,0.864101,0.873399,0.594844,0.568149,0.621539,0.519946,0.511735,0.528158,0.519115,0.510934,0.527297,52302.788852,50852.815987,53752.761717,1.0,1.0,1.0,1247.462433,1220.523885,1274.400981,2.585975,2.455482,2.716469
oracle,cluster_csv,1000,3,0.096,0.094707,0.097293,19.6608,19.396016,19.925584,5351.107807,5083.388631,5618.826983,16533.148675,15720.027636,17346.269713,0.904,0.902707,0.905293,0.581866,0.558794,0.604937,0.502738,0.498113,0.507363,0.501842,0.497759,0.505924,64970.285289,63803.080623,66137.489955,1.0,1.0,1.0,1472.722222,1450.425763,1495.01868,1.602059,1.560288,1.643831
oracle,cluster_adaptive,100,3,0.985417,0.982678,0.988155,20.181333,20.125244,20.237422,650.280201,634.757385,665.803018,1656.582014,1636.659599,1676.504429,0.014583,0.011845,0.017322,0.999594,0.999555,0.999633,0.258812,0.251569,0.266054,0.25873,0.251565,0.265896,4166.492364,3914.043123,4418.941606,1.0,1.0,1.0,424.011482,422.027335,425.995628,57.115494,56.984258,57.246731
oracle,cluster_adaptive,200,3,0.919028,0.912985,0.925071,37.643378,37.395846,37.890909,1444.263519,1406.115151,1482.411888,3670.980855,3519.521346,3822.440365,0.080972,0.074929,0.087015,0.997618,0.996717,0.99852,0.39095,0.378555,0.403345,0.39081,0.378703,0.402917,9238.861013,8460.383426,10017.3386,1.0,1.0,1.0,584.370714,572.03433,596.707097,38.651746,37.925041,39.378451
oracle,cluster_adaptive,300,3,0.605926,0.574794,0.637057,37.228089,35.315373,39.140805,2401.264904,2243.684492,2558.845316,5904.854745,5776.387249,6033.322241,0.394074,0.362943,0.425206,0.912232,0.885961,0.938503,0.469406,0.446276,0.492537,0.469155,0.446194,0.492117,14823.608289,14488.00537,15159.211207,1.0,1.0,1.0,650.828316,639.583874,662.072758,22.88097,21.671454,24.090485
oracle,cluster_adaptive,400,3,0.393368,0.390601,0.396135,32.224711,31.99803,32.451392,2958.074323,2822.465413,3093.683234,7464.285034,7372.276827,7556.293241,0.606632,0.603865,0.609399,0.796196,0.773343,0.819049,0.507797,0.502432,0.513162,0.507513,0.502244,0.512782,20549.980689,19545.686394,21554.274984,1.0,1.0,1.0,716.977692,697.204472,736.750913,13.484937,13.023085,13.946788
oracle,cluster_adaptive,500,3,0.280222,0.277248,0.283196,28.694756,28.390237,28.999274,3326.642516,3167.069822,3486.21521,8541.704642,7926.486992,9156.922291,0.719778,0.716804,0.722752,0.705076,0.673271,0.736881,0.518675,0.515103,0.522247,0.518214,0.514861,0.521567,27277.708768,24908.109522,29647.308014,1.0,1.0,1.0,815.898026,771.458052,860.338001,8.443875,7.899976,8.987774
oracle,cluster_adaptive,600,3,0.213056,0.208164,0.217947,26.180267,25.579152,26.781382,3691.11429,3427.291511,3954.937069,9760.034115,8596.860793,10923.207438,0.786944,0.782053,0.791836,0.708157,0.684794,0.73152,0.527381,0.524669,0.530092,0.526738,0.523609,0.529868,32637.669881,31544.607382,33730.732381,1.0,1.0,1.0,898.753418,878.280309,919.226528,5.826547,5.562513,6.09058
oracle,cluster_adaptive,800,3,0.131128,0.127048,0.135209,21.484089,20.815598,22.15258,4561.606744,4372.44092,4750.772567,13434.330513,12564.155424,14304.505602,0.868872,0.864791,0.872952,0.697917,0.684268,0.711566,0.525778,0.52289,0.528666,0.525031,0.522133,0.527928,44932.985803,44028.974751,45836.996854,1.0,1.0,1.0,1107.146424,1090.362322,1123.930525,2.910953,2.777346,3.04456
oracle,cluster_adaptive,1000,3,0.090681,0.087929,0.093432,18.571378,18.007955,19.1348,5372.969617,5130.081434,5615.857801,17056.601749,15016.673465,19096.530033,0.909319,0.906568,0.912071,0.68741,0.669211,0.70561,0.513028,0.512131,0.513925,0.51229,0.511639,0.512941,58904.057096,58545.199595,59262.914597,1.0,1.0,1.0,1357.4997,1350.868387,1364.131013,1.641649,1.599272,1.684026
