policy,num_stas,n_seeds,pdr_mean,pdr_ci_lo,pdr_ci_hi,tput_kbps_mean,tput_kbps_ci_lo,tput_kbps_ci_hi,avg_delay_ms_mean,avg_delay_ms_ci_lo,avg_delay_ms_ci_hi,p95_delay_ms_mean,p95_delay_ms_ci_lo,p95_delay_ms_ci_hi,drop_rate_mean,drop_rate_ci_lo,drop_rate_ci_hi,fairness_mean,fairness_ci_lo,fairness_ci_hi,col_rate_mean,col_rate_ci_lo,col_rate_ci_hi,retry_rate_mean,retry_rate_ci_lo,retry_rate_ci_hi,raw_fit_pass_mean,raw_fit_pass_ci_lo,raw_fit_pass_ci_hi,assoc_mean_ms_mean,assoc_mean_ms_ci_lo,assoc_mean_ms_ci_hi,assoc_max_ms_mean,assoc_max_ms_ci_lo,assoc_max_ms_ci_hi,assoc_scan_ms_mean,assoc_scan_ms_ci_lo,assoc_scan_ms_ci_hi,assoc_auth_ms_mean,assoc_auth_ms_ci_lo,assoc_auth_ms_ci_hi,assoc_req_ms_mean,assoc_req_ms_ci_lo,assoc_req_ms_ci_hi,assoc_frac_mean,assoc_frac_ci_lo,assoc_frac_ci_hi,e_total_mj_mean,e_total_mj_ci_lo,e_total_mj_ci_hi,e_tx_mj_mean,e_tx_mj_ci_lo,e_tx_mj_ci_hi,e_rx_mj_mean,e_rx_mj_ci_lo,e_rx_mj_ci_hi,e_idle_mj_mean,e_idle_mj_ci_lo,e_idle_mj_ci_hi,e_sleep_mj_mean,e_sleep_mj_ci_lo,e_sleep_mj_ci_hi,e_retx_mj_mean,e_retx_mj_ci_lo,e_retx_mj_ci_hi,retx_energy_pct_mean,retx_energy_pct_ci_lo,retx_energy_pct_ci_hi,avg_tx_retries_mean,avg_tx_retries_ci_lo,avg_tx_retries_ci_hi,ee_kbit_j_mean,ee_kbit_j_ci_lo,ee_kbit_j_ci_hi,e_per_pkt_uj_mean,e_per_pkt_uj_ci_lo,e_per_pkt_uj_ci_hi
laca,600,3,0.193637,0.188623,0.198651,24.7552,23.833318,25.677082,4100.850995,3959.776484,4241.925505,10858.916012,10161.648797,11556.183227,0.806363,0.801349,0.811377,0.707622,0.694228,0.721015,0.499865,0.494496,0.505235,0.49925,0.494135,0.504365,0.981177,0.978822,0.983532,35250.910744,33119.381688,37382.439801,57465.281778,54878.971974,60051.591581,15248.112377,15245.954608,15250.270146,9514.080825,8521.698308,10506.463342,10479.164284,9347.277556,11611.051011,1.0,1.0,1.0,948.115481,907.793919,988.437043,24.225307,24.182704,24.26791,102.626286,102.582504,102.670068,781.701346,740.402087,823.000605,39.562542,38.529676,40.595409,10.284405,10.020132,10.548679,1.084822,1.058727,1.110918,7.984444,7.666501,8.302388,5.223817,4.814227,5.633407,196153.167157,181047.740599,211258.593715
chang2019,600,3,0.094897,0.0861,0.103693,12.145778,11.309979,12.981576,2566.693556,2352.796835,2780.590278,6708.067278,6022.047363,7394.087194,0.905103,0.896307,0.9139,0.619816,0.558578,0.681054,0.650126,0.635443,0.66481,0.63864,0.627638,0.649643,1.0,1.0,1.0,44967.408633,38388.428327,51546.388939,68829.355556,62559.258409,75099.452703,15247.550788,15244.367007,15250.734569,15258.761896,11431.220806,19086.302985,14439.103795,11689.648345,17188.559244,1.0,1.0,1.0,1474.66496,1387.611305,1561.718616,27.57028,27.253555,27.887005,102.450893,102.361324,102.540462,1318.509321,1229.034752,1407.98389,26.134466,23.897677,28.371255,18.234856,17.731709,18.738003,1.237217,1.131375,1.343059,12.627222,12.505492,12.748953,1.647218,1.599644,1.694792,621710.080448,603792.169435,639627.991461
etaroa,600,3,0.211211,0.206829,0.215593,26.922667,26.885948,26.959386,3236.948987,3195.492852,3278.405122,8444.483598,7979.689326,8909.277869,0.788789,0.784407,0.793171,0.696895,0.671504,0.722285,0.514604,0.510612,0.518596,0.513732,0.509408,0.518056,1.0,1.0,1.0,40893.039835,40517.521413,41268.558256,73164.511556,67942.883003,78386.140108,15247.800042,15246.435566,15249.164518,11703.420585,11004.538656,12402.302515,13926.374159,13597.258874,14255.489443,1.0,1.0,1.0,1053.666184,1047.180272,1060.152096,26.637307,26.44447,26.830143,102.706546,102.664229,102.748864,887.409848,880.606994,894.212703,36.912483,36.742743,37.082222,11.449397,11.247805,11.650989,1.086639,1.062105,1.111173,8.642222,8.608754,8.67569,5.110309,5.072308,5.14831,200380.464451,198891.826262,201869.10264
no_raw,800,3,0.039281,0.03015,0.048412,6.690133,5.077424,8.302843,1374.438853,1272.795019,1476.082688,4660.545771,4599.088449,4722.003092,0.960719,0.951588,0.96985,0.930074,0.916145,0.944004,0.940635,0.917506,0.963763,0.8403,0.825527,0.855074,1.0,1.0,1.0,7177.526903,5355.598639,8999.455168,16595.289916,7905.190546,25285.389285,2713.727564,2177.362201,3250.092926,1564.71291,1013.029951,2116.395868,2887.008163,1796.001628,3978.014698,0.122917,0.096505,0.149328,2489.777954,2489.723428,2489.832481,23.690206,23.615,23.765412,101.4438,101.387525,101.500075,2364.643948,2364.628988,2364.658909,0.0,0.0,0.0,18.894176,18.554293,19.234059,0.75887,0.745216,0.772524,25.083333,21.681659,28.485008,0.403056,0.305898,0.500214,2555857.433115,1969329.4534,3142385.412831
static,800,3,0.139957,0.138585,0.141329,23.674311,23.282069,24.066553,3119.008403,3086.513591,3151.503215,8302.612481,8229.58797,8375.636992,0.860043,0.858671,0.861415,0.680775,0.669237,0.692313,0.502844,0.494626,0.511062,0.501713,0.493067,0.51036,1.0,1.0,1.0,56690.171018,50347.09093,63033.251106,119994.727111,119989.83459,119999.619632,18527.097301,15878.708006,21175.486595,12436.495311,8858.8207,16014.169923,25711.175105,24243.458541,27178.89167,0.91375,0.781523,1.045977,1433.115172,1366.013419,1500.216926,19.389236,19.190743,19.587729,102.646665,102.595089,102.698242,1284.062488,1215.329983,1352.794993,27.016783,25.298336,28.73523,8.654272,8.514039,8.794505,0.603986,0.581742,0.62623,7.236667,7.112204,7.361129,2.478313,2.399916,2.556711,413228.814,400187.733821,426269.894179
adaptive,800,3,0.13764,0.136686,0.138594,23.361422,23.023333,23.699511,3715.924759,3620.312356,3811.537163,10321.45667,9080.245964,11562.667377,0.86236,0.861406,0.863314,0.614184,0.599319,0.629048,0.509241,0.50709,0.511391,0.508458,0.506562,0.510353,1.0,1.0,1.0,56571.766377,56324.057319,56819.475435,98055.948444,96209.016697,99902.880192,20251.240486,20244.449216,20258.031755,16776.147221,16424.846354,17127.448089,19531.664416,19285.173898,19778.154933,1.0,1.0,1.0,1327.095326,1323.300902,1330.88975,19.251374,19.127556,19.375192,102.581694,102.559102,102.604285,1175.531289,1171.540276,1179.522302,29.73097,29.63137,29.830571,8.597168,8.497381,8.696955,0.647821,0.638611,0.657031,7.13,7.114473,7.145527,2.640512,2.60432,2.676704,387811.459068,382512.054436,393110.8637
cluster_csv,800,3,0.140028,0.135868,0.144188,23.992889,23.504682,24.481096,4125.970648,3950.859358,4301.081937,13124.718611,11874.282719,14375.154503,0.859972,0.855812,0.864132,0.493784,0.443093,0.544475,0.500063,0.494349,0.505777,0.498923,0.493169,0.504676,1.0,1.0,1.0,54588.123304,54250.784282,54925.462327,92648.378222,91963.908259,93332.848186,20250.939433,20246.36828,20255.510586,15395.327996,15151.037538,15639.618454,18922.752825,18668.027818,19177.477832,1.0,1.0,1.0,1290.20776,1283.563268,1296.852252,19.055388,19.008444,19.102332,102.584911,102.568822,102.600999,1137.895067,1131.04633,1144.743804,30.672394,30.501195,30.843593,8.32774,8.052712,8.602768,0.645462,0.623018,0.667907,6.9775,6.848597,7.106403,2.789402,2.744714,2.834089,367113.934072,361252.107296,372975.760847
cluster_adaptive,800,3,0.135993,0.130262,0.141724,23.276089,22.574788,23.97739,3851.415385,3725.225907,3977.604862,10910.584622,10127.830129,11693.339115,0.864007,0.858276,0.869738,0.578363,0.570579,0.586147,0.513133,0.510271,0.515995,0.512557,0.509789,0.515325,1.0,1.0,1.0,50520.023544,48460.400949,52579.646139,100674.679556,94873.620706,106475.738405,20250.675513,20245.158618,20256.192409,12956.096742,12016.450311,13895.743173,17305.576471,16143.453114,18467.699827,1.0,1.0,1.0,1213.006735,1174.220185,1251.793285,19.453888,19.406885,19.500891,102.57264,102.543714,102.601566,1058.31943,1018.526278,1098.112583,32.660777,31.665831,33.655723,8.9062,8.70488,9.10752,0.734256,0.722013,0.7465,7.245,7.002877,7.487123,2.878862,2.711128,3.046596,355828.045867,334855.28619,376800.805544
laca,800,3,0.124676,0.118857,0.130496,21.185422,20.421841,21.949003,4705.689294,4501.97624,4909.402348,13688.795664,12456.012037,14921.579291,0.875324,0.869504,0.881143,0.666831,0.657047,0.676616,0.503495,0.496187,0.510804,0.502677,0.495655,0.509699,0.98023,0.970941,0.989519,49924.525434,47882.51647,51966.534398,79816.388,76753.8721,82878.9039,20251.305319,20244.46584,20258.144799,14121.338076,13050.237125,15192.439026,15537.686509,14481.194896,16594.178122,1.0,1.0,1.0,1201.735606,1163.561395,1239.909817,18.057052,17.929028,18.185076,102.518995,102.475787,102.562203,1048.242547,1009.032557,1087.452536,32.917012,31.936688,33.897335,8.167598,7.993918,8.341278,0.679675,0.672554,0.686795,6.877083,6.603553,7.150613,2.644923,2.47156,2.818286,387335.23585,362129.203584,412541.268117
chang2019,800,3,0.067621,0.05532,0.079922,11.514311,9.353364,13.675258,3381.006041,3267.906534,3494.105548,9864.208786,7488.576463,12239.84111,0.932379,0.920078,0.94468,0.603383,0.454072,0.752694,0.606752,0.589336,0.624169,0.599637,0.582918,0.616356,0.999905,0.999495,1.000315,58881.322192,46016.632338,71746.012046,91977.137778,76104.199321,107850.076235,20251.249752,20244.579604,20257.9199,19611.786051,11475.283869,27748.288233,18988.132509,14246.9431,23729.321917,1.0,1.0,1.0,1642.894564,1564.045635,1721.743492,19.871934,19.828689,19.915179,102.39985,102.336779,102.462922,1498.978241,1418.197023,1579.759458,21.644539,19.624431,23.664647,12.633124,12.207041,13.059207,0.769278,0.706939,0.831616,9.459167,9.318346,9.599988,1.050618,0.899512,1.201724,976780.330674,840580.248887,1112980.412461
etaroa,800,3,0.133902,0.131006,0.136799,22.855111,22.290493,23.419729,3790.180664,3734.334772,3846.026556,10733.473991,10246.2965,11220.651482,0.866098,0.863201,0.868994,0.60616,0.55312,0.6592,0.51405,0.508165,0.519936,0.513226,0.507451,0.519,1.0,1.0,1.0,56382.994776,55318.641827,57447.347724,96771.918222,90507.62003,103036.216414,20251.246488,20246.646285,20255.846692,17179.868307,16650.626531,17709.110083,18939.197975,17375.233067,20503.162883,1.0,1.0,1.0,1323.432297,1303.290366,1343.574228,19.280228,19.151002,19.409454,102.570155,102.532791,102.607519,1171.756563,1151.134547,1192.37858,29.825351,29.309588,30.341114,8.729676,8.496267,8.963085,0.659615,0.649663,0.669567,7.190833,7.020903,7.360764,2.590603,2.487758,2.693448,395341.578355,379770.823681,410912.333029
no_raw,1000,3,0.030891,0.024122,0.03766,6.545067,5.162854,7.92728,1315.259216,1201.112864,1429.405568,4600.723007,4423.590757,4777.855257,0.969109,0.96234,0.975878,0.917519,0.893578,0.94146,0.939533,0.916154,0.962912,0.842265,0.826817,0.857714,1.0,1.0,1.0,8531.029658,5545.783609,11516.275706,36010.644444,-39642.24711,111663.535999,2878.923508,2309.235482,3448.611534,1778.504238,933.461551,2623.546925,3871.114843,2162.703824,5579.525862,0.105333,0.082384,0.128283,2485.432655,2485.33751,2485.5278,18.831963,18.674016,18.98991,101.404147,101.332897,101.475398,2365.196544,2365.188599,2365.20449,0.0,0.0,0.0,14.945106,14.538813,15.351398,0.601308,0.584981,0.617635,20.937667,18.572404,23.302929,0.316005,0.24926,0.382749,3255855.978081,2580218.751804,3931493.204359
static,1000,3,0.106428,0.103955,0.108901,22.613333,22.200619,23.026047,3157.417603,3087.679206,3227.155999,8373.432344,8020.815596,8726.049092,0.893572,0.891099,0.896045,0.678241,0.653884,0.702598,0.519505,0.510674,0.528336,0.517965,0.509124,0.526805,1.0,1.0,1.0,32638.595305,30916.26645,34360.92416,117817.853333,114039.964546,121595.74212,12582.583444,12222.057322,12943.109566,5325.909357,4762.297559,5889.521155,14723.581454,13648.257639,15798.90527,0.493333,0.47899,0.507677,1699.163292,1676.80341,1721.523174,15.579262,15.4498,15.708725,102.326998,102.299284,102.354713,1561.154384,1538.130459,1584.17831,20.102647,19.527175,20.678118,7.195662,6.939769,7.451556,0.423498,0.405738,0.441257,6.413,6.214206,6.611794,1.597051,1.561271,1.632831,641216.55935,626873.760431,655559.358269
adaptive,1000,3,0.096869,0.08971,0.104028,20.585244,19.199567,21.970921,4103.578673,3823.951257,4383.206089,12215.850516,11456.231933,12975.469099,0.903131,0.895972,0.91029,0.574545,0.566761,0.58233,0.495686,0.485741,0.505631,0.494611,0.484444,0.504778,1.0,1.0,1.0,70140.99681,68450.292357,71831.701263,117828.396,115942.401691,119714.390309,25248.547133,25247.233128,25249.861138,21319.121183,20333.833673,22304.408693,23555.867877,22794.10892,24317.626834,1.0,1.0,1.0,1569.669156,1538.236844,1601.101469,14.81415,14.723016,14.905284,102.495946,102.472015,102.519878,1428.950554,1396.643698,1461.25741,23.408506,22.600894,24.216117,6.589134,6.348318,6.82995,0.419825,0.396856,0.442795,6.013,5.882554,6.143446,1.57368,1.479878,1.667483,650954.83815,611996.745195,689912.931105
cluster_csv,1000,3,0.09865,0.094856,0.102444,20.841244,20.1741,21.508389,4463.580421,4340.38214,4586.778701,14481.062734,13259.935364,15702.190104,0.90135,0.897556,0.905144,0.531233,0.513232,0.549234,0.490393,0.486576,0.49421,0.489579,0.485749,0.49341,1.0,1.0,1.0,68323.522361,66603.852691,70043.192032,111645.205333,108502.85236,114787.558307,25248.713453,25246.903038,25250.523869,20426.274134,19707.470262,21145.078007,22639.930865,21594.649097,23685.212634,1.0,1.0,1.0,1536.29934,1503.761156,1568.837524,14.704835,14.649819,14.759851,102.496736,102.468639,102.524832,1394.836105,1361.440013,1428.232198,24.261664,23.42668,25.096648,6.430421,6.217286,6.643556,0.418615,0.396285,0.440946,5.939667,5.878594,6.00074,1.627911,1.586433,1.669388,629071.108294,613090.975758,645051.24083
cluster_adaptive,1000,3,0.093362,0.091201,0.095523,19.794489,19.320292,20.268686,4692.721952,4436.693394,4948.75051,14952.672808,13122.633227,16782.712389,0.906638,0.904477,0.908799,0.572304,0.562219,0.582388,0.498344,0.497675,0.499013,0.497436,0.496415,0.498457,1.0,1.0,1.0,64370.84105,63432.658459,65309.023641,110424.225333,108524.53199,112323.918676,25249.239939,25247.401225,25251.078654,18056.50348,17701.205204,18411.801756,21054.42993,20357.309988,21751.549872,1.0,1.0,1.0,1460.818868,1443.40278,1478.234956,14.772016,14.635751,14.908281,102.481636,102.457175,102.506096,1317.366887,1299.429368,1335.304405,26.19833,25.750002,26.646657,6.764922,6.677167,6.852676,0.463104,0.452318,0.47389,6.116,6.062084,6.169916,1.626106,1.568184,1.684028,629812.18553,607192.661613,652431.709447
laca,1000,3,0.096662,0.094846,0.098478,20.445867,19.727889,21.163845,4973.866693,4836.982239,5110.751147,15275.10979,14953.049808,15597.169771,0.903338,0.901522,0.905154,0.630262,0.614476,0.646048,0.48498,0.479069,0.490891,0.484031,0.477826,0.490236,0.978352,0.97386,0.982844,63732.231219,62862.386807,64602.075631,100801.713333,99332.760085,102270.666582,25248.768532,25246.83886,25250.698204,18359.812896,18220.452681,18499.17311,20111.100324,19381.918748,20840.2819,1.0,1.0,1.0,1449.0149,1432.606814,1465.422986,14.283314,14.260416,14.306211,102.461106,102.438066,102.484146,1305.78098,1288.954107,1322.607852,26.4895,26.068701,26.9103,6.18708,6.102528,6.271632,0.426998,0.416495,0.437501,5.782333,5.748787,5.81588,1.693178,1.650923,1.735432,604820.908296,589641.071359,620000.745234
chang2019,1000,3,0.053158,0.051351,0.054964,11.386311,11.061787,11.710835,4106.947869,3739.964384,4473.931353,12308.318581,10955.751496,13660.885665,0.946842,0.945036,0.948649,0.71009,0.635054,0.785126,0.569856,0.565486,0.574225,0.564384,0.559879,0.568889,1.0,1.0,1.0,68021.681329,64237.774482,71805.588177,109580.929778,101299.68514,117862.174416,25248.898584,25246.057636,25251.739533,21095.257272,19093.97583,23096.538714,21663.318948,19783.979587,23542.658309,1.0,1.0,1.0,1798.429016,1745.646681,1851.211351,15.345717,15.284588,15.406845,102.339686,102.293045,102.386327,1663.191344,1609.040009,1717.342679,17.552269,16.198284,18.906255,9.160677,9.076998,9.244355,0.509429,0.490751,0.528108,7.427,7.293607,7.560393,0.759889,0.716,0.803777,1348045.613398,1271178.675666,1424912.55113
etaroa,1000,3,0.098995,0.098489,0.099502,21.0688,21.032081,21.105519,3892.427247,3735.957957,4048.896536,11640.279592,10683.0334,12597.525785,0.901005,0.900498,0.901511,0.592427,0.562104,0.622749,0.494596,0.493983,0.495208,0.493481,0.493007,0.493955,1.0,1.0,1.0,70752.88818,69811.622119,71694.154241,119863.201778,119294.091745,120432.311811,25082.636212,24680.082638,25485.189785,21528.267019,20159.635983,22896.898054,24125.136325,23287.281506,24962.991145,0.993333,0.977169,1.009497,1587.875071,1583.757473,1591.992669,14.85215,14.79378,14.91052,102.492764,102.485718,102.49981,1447.587658,1443.41475,1451.760565,22.942498,22.838058,23.046938,6.499968,6.405565,6.594371,0.409349,0.404096,0.414602,5.930667,5.837171,6.024163,1.592227,1.588762,1.595691,643124.811753,641725.223431,644524.400075
