policy,num_stas,n_seeds,pdr_mean,pdr_ci_lo,pdr_ci_hi,tput_kbps_mean,tput_kbps_ci_lo,tput_kbps_ci_hi,avg_delay_ms_mean,avg_delay_ms_ci_lo,avg_delay_ms_ci_hi,p95_delay_ms_mean,p95_delay_ms_ci_lo,p95_delay_ms_ci_hi,drop_rate_mean,drop_rate_ci_lo,drop_rate_ci_hi,fairness_mean,fairness_ci_lo,fairness_ci_hi,col_rate_mean,col_rate_ci_lo,col_rate_ci_hi,retry_rate_mean,retry_rate_ci_lo,retry_rate_ci_hi,raw_fit_pass_mean,raw_fit_pass_ci_lo,raw_fit_pass_ci_hi,assoc_mean_ms_mean,assoc_mean_ms_ci_lo,assoc_mean_ms_ci_hi,assoc_max_ms_mean,assoc_max_ms_ci_lo,assoc_max_ms_ci_hi,assoc_scan_ms_mean,assoc_scan_ms_ci_lo,assoc_scan_ms_ci_hi,assoc_auth_ms_mean,assoc_auth_ms_ci_lo,assoc_auth_ms_ci_hi,assoc_req_ms_mean,assoc_req_ms_ci_lo,assoc_req_ms_ci_hi,assoc_frac_mean,assoc_frac_ci_lo,assoc_frac_ci_hi,e_total_mj_mean,e_total_mj_ci_lo,e_total_mj_ci_hi,e_tx_mj_mean,e_tx_mj_ci_lo,e_tx_mj_ci_hi,e_rx_mj_mean,e_rx_mj_ci_lo,e_rx_mj_ci_hi,e_idle_mj_mean,e_idle_mj_ci_lo,e_idle_mj_ci_hi,e_sleep_mj_mean,e_sleep_mj_ci_lo,e_sleep_mj_ci_hi,e_retx_mj_mean,e_retx_mj_ci_lo,e_retx_mj_ci_hi,retx_energy_pct_mean,retx_energy_pct_ci_lo,retx_energy_pct_ci_hi,avg_tx_retries_mean,avg_tx_retries_ci_lo,avg_tx_retries_ci_hi,ee_kbit_j_mean,ee_kbit_j_ci_lo,ee_kbit_j_ci_hi,e_per_pkt_uj_mean,e_per_pkt_uj_ci_lo,e_per_pkt_uj_ci_hi
cluster_csv,400,3,0.400416,0.38997,0.410863,34.133333,33.598277,34.668389,2557.19964,2393.901829,2720.497451,7018.716181,6268.71463,7768.717731,0.599584,0.589137,0.61003,0.761729,0.726733,0.796726,0.464677,0.45609,0.473265,0.464194,0.456166,0.472222,1.0,1.0,1.0,22955.385594,21707.892097,24202.879092,39984.585778,38726.426631,41242.744925,10248.128446,10242.493772,10253.763119,5943.865191,5500.249377,6387.481005,6755.813087,5946.187755,7565.438418,1.0,1.0,1.0,759.450739,736.455511,782.445967,39.373008,39.261857,39.484159,103.01578,102.983535,103.048025,572.309838,548.797418,595.822259,44.752112,44.163935,45.34029,14.343584,14.1017,14.585468,1.888788,1.849428,1.928148,10.186667,9.952926,10.420407,13.485316,12.893802,14.07683,75950.13624,72638.274096,79261.998384
cluster_adaptive,400,3,0.416832,0.402941,0.430722,35.066311,34.961736,35.170887,2523.806169,2262.223628,2785.388711,6514.139983,6163.10806,6865.171906,0.583168,0.569278,0.597059,0.812912,0.779818,0.846005,0.475044,0.466837,0.483251,0.474445,0.466453,0.482436,1.0,1.0,1.0,21121.01611,19753.163535,22488.868685,37140.302222,34548.480968,39732.123477,10247.160536,10242.325556,10251.995516,5059.671369,4359.741649,5759.60109,5808.108279,5104.055163,6512.161394,1.0,1.0,1.0,725.648657,700.444791,750.852522,41.551612,40.947003,42.156221,103.005386,102.960998,103.049775,535.423352,509.461399,561.385305,45.668306,45.019344,46.317268,15.482032,15.010124,15.95394,2.13391,2.019385,2.248434,10.783333,10.593589,10.973078,14.499235,13.963129,15.035341,70634.891632,68011.511908,73258.271357
laca,400,3,0.36166,0.349477,0.373843,30.427022,29.837864,31.01618,3229.265556,3048.041695,3410.489418,8301.260392,7672.023172,8930.497611,0.63834,0.626157,0.650523,0.808639,0.797232,0.820047,0.469223,0.460905,0.47754,0.468678,0.460231,0.477125,0.987708,0.987203,0.988212,21764.804197,20809.587451,22720.020942,36474.655111,35217.129331,37732.180891,10245.752622,10237.482613,10254.022632,5472.673266,4788.348983,6156.997548,6035.587579,5747.537402,6323.637756,1.0,1.0,1.0,742.003143,723.188552,760.817734,36.26014,36.163032,36.357248,102.911747,102.884615,102.938879,557.704525,538.534304,576.874747,45.126731,44.646987,45.606474,13.013876,12.702054,13.325698,1.75402,1.689245,1.818795,9.429167,9.179005,9.679328,12.303317,11.788948,12.817686,83245.270988,79771.643561,86718.898415
chang2019,400,3,0.180802,0.170893,0.190712,15.2832,14.546073,16.020327,1841.403023,1712.148343,1970.657704,5018.879441,4606.012036,5431.746846,0.819198,0.809288,0.829107,0.689246,0.619134,0.759357,0.684768,0.672277,0.697259,0.66949,0.660887,0.678092,0.999962,0.999796,1.000127,28567.656132,18276.828042,38858.484222,47988.423111,40438.226896,55538.619326,10247.555639,10243.128407,10251.982871,9110.38735,1937.96327,16282.81143,9183.753814,6089.278725,12278.228903,1.0,1.0,1.0,1200.375589,932.276732,1468.474445,42.8508,42.615837,43.085763,102.590233,102.511606,102.66886,1021.416335,746.401912,1296.430757,33.518221,26.642705,40.393737,28.057836,27.313678,28.801994,2.34864,1.883145,2.814135,17.9775,17.371919,18.583081,3.843482,2.841733,4.845231,268409.92629,197779.444442,339040.408138
etaroa,400,3,0.399871,0.390566,0.409176,33.729422,32.247818,35.211026,2577.796078,2459.97023,2695.621925,6645.383666,6618.318709,6672.448623,0.600129,0.590824,0.609434,0.809516,0.771662,0.847369,0.48378,0.470312,0.497248,0.48318,0.470101,0.49626,1.0,1.0,1.0,24626.876989,24400.626938,24853.12704,44240.297778,43486.780631,44993.814925,10246.763226,10243.794441,10249.73201,6555.840921,6328.269277,6783.412565,7810.882759,7536.814172,8084.951345,1.0,1.0,1.0,791.88083,788.050181,795.71148,40.791368,40.513783,41.068953,103.035309,102.985148,103.08547,604.100916,600.075596,608.126235,43.953238,43.852786,44.05369,15.471688,15.016877,15.926499,1.95377,1.904072,2.003468,10.825,10.501857,11.148143,12.778478,12.168616,13.38834,80154.67416,76287.984771,84021.363549
no_raw,600,3,0.05454,0.045739,0.063342,6.957511,5.725677,8.189345,1416.978781,1288.054833,1545.902729,4676.653264,4385.188498,4968.11803,0.94546,0.936658,0.954261,0.935029,0.913633,0.956425,0.938254,0.922098,0.954409,0.837779,0.830103,0.845456,1.0,1.0,1.0,8521.000691,4797.649011,12244.352371,65986.210222,-45099.505826,177071.926271,2636.993179,2282.687914,2991.298445,1616.870187,1243.429506,1990.310868,4227.72637,708.438907,7747.013834,0.158889,0.136084,0.181693,2497.041574,2496.945565,2497.137584,31.800875,31.730104,31.871646,101.523716,101.474535,101.572897,2363.716984,2363.693307,2363.74066,0.0,0.0,0.0,25.521344,25.275532,25.767156,1.022063,1.012188,1.031938,30.537778,26.226048,34.849507,0.55726,0.458617,0.655903,1843981.289732,1508125.340619,2179837.238846
static,600,3,0.214545,0.209867,0.219223,27.292444,26.503676,28.081213,3289.964997,3106.38844,3473.541554,8588.197686,7537.822378,9638.572994,0.785455,0.780777,0.790133,0.70539,0.691285,0.719495,0.500762,0.495675,0.50585,0.500253,0.494895,0.505611,1.0,1.0,1.0,33152.230958,31966.600199,34337.861716,70161.966667,66177.426532,74146.506802,15247.943911,15245.610147,15250.277676,7293.712447,7080.107252,7507.317643,10605.097026,9531.548635,11678.645417,1.0,1.0,1.0,902.881495,880.87367,924.889321,26.474109,26.45988,26.488338,102.705717,102.689254,102.72218,732.926646,710.356702,755.49659,40.775023,40.210681,41.339364,11.331821,10.916742,11.746901,1.255167,1.197026,1.313307,8.559444,8.325353,8.793536,6.04611,5.795722,6.296499,169396.264726,162425.279364,176367.250087
adaptive,600,3,0.212467,0.21107,0.213864,26.962489,26.717696,27.207282,3235.177582,3012.837666,3457.517498,8489.74608,7882.12338,9097.36878,0.787533,0.786136,0.78893,0.696564,0.66651,0.726618,0.512373,0.50656,0.518186,0.511753,0.505205,0.518302,1.0,1.0,1.0,40913.198043,39928.612167,41897.783919,71655.327556,68523.457118,74787.197993,15247.911277,15243.432094,15252.390461,11854.29905,11288.883884,12419.714217,13801.314567,13240.379008,14362.250127,1.0,1.0,1.0,1054.000431,1036.183428,1071.817435,26.506405,26.356942,26.655868,102.709686,102.666083,102.753289,887.883357,869.499871,906.266843,36.900983,36.441476,37.36049,11.39628,11.28417,11.50839,1.081261,1.067489,1.095034,8.641667,8.465949,8.817385,5.116338,5.039733,5.192943,200147.995366,197148.997827,203146.992905
cluster_csv,600,3,0.21846,0.203485,0.233436,27.921067,26.862567,28.979566,3372.357656,3203.200554,3541.514759,9186.671436,8532.317377,9841.025495,0.78154,0.766564,0.796515,0.611367,0.586685,0.636048,0.497914,0.485933,0.509894,0.497258,0.485543,0.508972,1.0,1.0,1.0,37218.302263,36648.439041,37788.165485,64018.597778,62837.446618,65199.748938,15248.452421,15247.249061,15249.655782,10155.12983,10066.895254,10243.364405,11808.373156,11248.344956,12368.401356,1.0,1.0,1.0,984.878453,973.826901,995.930004,26.131544,25.903075,26.360013,102.689503,102.661711,102.717295,817.392958,806.09746,828.688456,38.664447,38.381999,38.946896,10.993925,10.59861,11.389241,1.116257,1.082603,1.149911,8.358889,8.187651,8.530127,5.670176,5.414267,5.926085,180634.197748,172396.582756,188871.81274
cluster_adaptive,600,3,0.218778,0.212927,0.22463,27.793067,27.336904,28.24923,3261.050302,3239.537069,3282.563534,8720.826831,8295.049371,9146.60429,0.781222,0.77537,0.787073,0.696286,0.651438,0.741135,0.510908,0.503988,0.517828,0.510129,0.503366,0.516891,1.0,1.0,1.0,34535.09234,32466.099271,36604.085409,67800.786667,58380.903505,77220.669828,15247.307961,15245.474388,15249.141534,8597.622379,7805.604753,9389.640006,10680.648304,9404.246302,11957.050307,1.0,1.0,1.0,933.734916,894.969217,972.500615,27.077189,27.036945,27.117434,102.691057,102.62909,102.753025,763.969269,724.307074,803.631464,39.9974,39.005253,40.989547,11.685659,11.566214,11.805104,1.251678,1.21089,1.292466,8.732222,8.551439,8.913006,5.954645,5.608949,6.300341,172028.834279,162102.559572,181955.108985
