mode,n,pdr_mean,pdr_ci_lo,pdr_ci_hi,tput_kbps_mean,tput_kbps_ci_lo,tput_kbps_ci_hi,avg_delay_ms_mean,avg_delay_ms_ci_lo,avg_delay_ms_ci_hi,p95_delay_ms_mean,p95_delay_ms_ci_lo,p95_delay_ms_ci_hi,drop_rate_mean,drop_rate_ci_lo,drop_rate_ci_hi,fairness_mean,fairness_ci_lo,fairness_ci_hi,col_rate_mean,col_rate_ci_lo,col_rate_ci_hi,retry_rate_mean,retry_rate_ci_lo,retry_rate_ci_hi,e_total_mj_mean,e_total_mj_ci_lo,e_total_mj_ci_hi,e_sleep_mj_mean,e_sleep_mj_ci_lo,e_sleep_mj_ci_hi,e_idle_mj_mean,e_idle_mj_ci_lo,e_idle_mj_ci_hi,ee_kbit_j_mean,ee_kbit_j_ci_lo,ee_kbit_j_ci_hi,e_per_pkt_uj_mean,e_per_pkt_uj_ci_lo,e_per_pkt_uj_ci_hi
dqn,100,0.946667,0.831878,1.061455,19.387733,17.036861,21.738606,1462.829082,359.616507,2566.041657,3711.396523,171.020809,7251.772236,0.053333,-0.061455,0.168122,0.997573,0.992089,1.003056,0.21926,0.008006,0.430514,0.21926,0.008006,0.430514,388.392542,335.489587,441.295496,54.655764,53.213334,56.098194,174.227149,115.827379,232.626919,60.134322,44.254205,76.01444,17150.581765,12871.556557,21429.606974
dqn,200,0.760694,0.331839,1.18955,31.158044,13.592133,48.723956,2433.97624,372.967678,4494.984802,6611.805971,-523.960536,13747.572477,0.239306,-0.18955,0.668161,0.977723,0.9272,1.028246,0.411202,0.18104,0.641365,0.411001,0.181706,0.640295,457.321668,335.828723,578.814612,53.007181,50.519905,55.494457,239.673325,143.306559,336.04009,40.639687,26.57483,54.704544,25514.066089,17013.332942,34014.799236
dqn,400,0.408576,0.301678,0.515475,33.470578,24.713431,42.227725,4603.291138,3467.853191,5738.729086,12507.661347,5476.882801,19538.439893,0.591424,0.484525,0.698322,0.842338,0.79129,0.893386,0.371001,0.303401,0.438601,0.371001,0.303401,0.438601,423.945722,378.266791,469.624652,53.182641,52.284163,54.081118,236.117463,201.544726,270.6902,23.644336,19.832535,27.456138,43429.722526,36461.781876,50397.663177
dqn,600,0.234653,0.114078,0.355227,28.834133,14.017949,43.650318,5622.240091,4107.486136,7136.994046,14496.8591,10822.535013,18171.183188,0.765347,0.644773,0.885922,0.726701,0.645176,0.808227,0.440529,0.323365,0.557692,0.440493,0.323457,0.55753,450.057662,430.804808,469.310516,52.285252,51.874453,52.69605,273.198798,257.117126,289.280469,12.806363,6.399636,19.21309,81950.436798,45107.714014,118793.159583
dqn,800,0.157274,0.020325,0.294224,25.767822,3.330057,48.205588,8983.275301,-397.087457,18363.638059,30245.446864,-15600.647622,76091.54135,0.842726,0.705776,0.979675,0.718372,0.58591,0.850834,0.372173,0.165747,0.578598,0.372173,0.165747,0.578598,489.790957,464.455977,515.125938,51.090998,50.6025,51.579497,321.853423,302.740545,340.966302,7.880922,1.051536,14.710307,142220.416536,8465.120671,275975.712402
dqn,1000,0.149667,0.110673,0.188661,30.651733,22.66578,38.637686,8278.337755,5910.588079,10646.08743,24139.561185,19568.920903,28710.201467,0.850333,0.811339,0.889327,0.708717,0.613748,0.803686,0.406263,0.272641,0.539886,0.406235,0.272715,0.539756,542.940961,473.804949,612.076972,49.725361,47.972683,51.478039,376.497577,306.471957,446.523198,6.809601,4.153663,9.465538,152690.828216,97710.302824,207671.353607
ddqn,100,0.95625,0.881326,1.031174,19.584,18.049547,21.118453,1370.549862,682.833075,2058.266649,3709.477755,2156.296227,5262.659284,0.04375,-0.031174,0.118674,0.997256,0.989392,1.005119,0.242441,0.169106,0.315775,0.242441,0.169106,0.315775,414.918963,248.294361,581.543566,54.020838,49.844829,58.196847,199.400278,32.845005,365.955552,57.484907,37.979734,76.99008,18030.362922,12094.656821,23966.069023
ddqn,200,0.919861,0.814589,1.025133,37.677511,33.365559,41.989463,2042.919485,1602.410913,2483.428057,5169.38066,3747.898461,6590.862859,0.080139,-0.025133,0.185411,0.993369,0.9856,1.001138,0.340469,0.216615,0.464323,0.340429,0.216588,0.46427,482.642463,343.254215,622.030712,52.448894,49.221414,55.676373,261.491673,134.104227,388.879119,47.197267,34.996529,59.398006,21851.243365,16288.378535,27414.108195
ddqn,400,0.348924,0.081925,0.615922,28.583822,6.711321,50.456324,5130.222611,644.47144,9615.973781,13638.785778,-101.890352,27379.461907,0.651076,0.384078,0.918075,0.78575,0.773892,0.797609,0.400836,0.27093,0.530743,0.400764,0.271119,0.53041,402.034528,271.361705,532.707351,53.689771,50.921642,56.457901,216.124687,108.349779,323.899595,20.977573,10.756467,31.19868,50214.355031,23521.843143,76906.866919
ddqn,600,0.28794,0.210141,0.365739,35.382044,25.82213,44.941959,6100.923305,3662.970214,8538.876396,18185.604757,2585.79695,33785.412563,0.71206,0.634261,0.789859,0.771859,0.752013,0.791705,0.375607,0.303196,0.448017,0.375574,0.303211,0.447937,433.441335,395.861404,471.021267,52.739845,51.90771,53.57198,254.852613,222.172482,287.532743,16.310577,12.672807,19.948347,63111.664757,49386.770953,76836.55856
ddqn,800,0.197101,0.096037,0.298164,32.292978,15.734702,48.851254,7050.23005,5563.695913,8536.764188,21273.35788,9312.736081,33233.979679,0.802899,0.701836,0.903963,0.748471,0.572664,0.924278,0.395181,0.045814,0.744548,0.395061,0.045952,0.74417,493.730797,402.361919,585.099676,51.065343,48.816838,53.313848,322.497449,232.965387,412.029512,9.954437,2.773356,17.135518,108072.611814,41286.21445,174859.009178
ddqn,1000,0.167736,0.146972,0.1885,34.352356,30.099911,38.6048,7411.423984,6449.705066,8373.142902,21258.715787,18258.368363,24259.063212,0.832264,0.8115,0.853028,0.705749,0.65837,0.753129,0.364129,0.27179,0.456469,0.364129,0.27179,0.456469,595.130552,555.345237,634.915867,48.392568,47.394554,49.390581,429.773553,389.957873,469.589232,6.924139,6.496067,7.352212,147949.103095,138860.101001,157038.105189
ppo,100,0.98,0.916585,1.043415,20.0704,18.77167,21.36913,1250.417433,180.665183,2320.169683,2856.007148,808.152075,4903.862221,0.02,-0.043415,0.083415,0.999223,0.996921,1.001526,0.153054,-0.092573,0.398682,0.153054,-0.092573,0.398682,383.100112,319.062649,447.137574,54.725041,53.408513,56.041568,171.766331,120.528182,223.00448,63.008114,54.649659,71.366568,16283.812143,14054.984047,18512.640239
ppo,200,0.918819,0.847473,0.990166,37.634844,34.71249,40.557199,2182.296852,1419.759563,2944.834141,5447.438073,2853.638991,8041.237155,0.081181,0.009834,0.152527,0.995529,0.991398,0.999661,0.304322,0.263093,0.345551,0.304322,0.263093,0.345551,456.421943,423.322388,489.521499,53.015317,52.320376,53.710258,239.355693,212.291944,266.419443,49.477292,47.150186,51.804399,20701.263617,19736.618795,21665.908438
ppo,400,0.357083,0.037494,0.676672,29.252267,3.07153,55.433003,4533.930264,2606.424298,6461.43623,12163.726758,4444.359392,19883.094124,0.642917,0.323328,0.962506,0.782556,0.56768,0.997432,0.432867,0.381185,0.48455,0.432725,0.381266,0.484184,432.513734,355.972431,509.055037,52.958849,51.47673,54.440968,245.110121,188.244666,301.975575,20.01823,4.545575,35.490885,55496.962637,3431.464674,107562.4606
ppo,600,0.223449,0.156695,0.290203,27.457422,19.254696,35.660148,7022.742221,3667.050584,10378.433858,21304.517816,9093.243841,33515.79179,0.776551,0.709797,0.843305,0.750567,0.646285,0.854848,0.376162,0.259863,0.492461,0.376162,0.259863,0.492461,427.613542,366.337967,488.889117,52.791785,51.45265,54.13092,253.275498,200.870289,305.680706,12.813349,10.802685,14.824012,80122.362676,67985.88607,92258.839281
ppo,800,0.186076,0.158461,0.213692,30.486756,25.962207,35.011304,6759.407315,5797.298921,7721.515709,19011.062194,14856.503303,23165.621086,0.813924,0.786308,0.841539,0.69327,0.644978,0.741561,0.415383,0.323633,0.507133,0.415383,0.323633,0.507133,511.694807,439.040968,584.348647,50.598498,48.770803,52.426194,341.206323,268.25659,414.156057,8.974539,6.444437,11.50464,115082.098165,82781.288812,147382.907518
ppo,1000,0.138028,0.065686,0.21037,28.268089,13.452415,43.083763,10321.24352,6725.232338,13917.254701,33321.780248,12644.734388,53998.826107,0.861972,0.78963,0.934314,0.724014,0.641373,0.806656,0.34759,0.1942,0.500981,0.34759,0.1942,0.500981,545.680035,518.368716,572.991354,49.598354,48.94532,50.251388,381.858639,355.909199,407.808079,6.221126,2.922961,9.51929,170433.067805,68454.0517,272412.083909
