policy,num_stas,packet_interval,n_seeds,pdr_mean,pdr_ci_lo,pdr_ci_hi,tput_kbps_mean,tput_kbps_ci_lo,tput_kbps_ci_hi,avg_delay_ms_mean,avg_delay_ms_ci_lo,avg_delay_ms_ci_hi,p95_delay_ms_mean,p95_delay_ms_ci_lo,p95_delay_ms_ci_hi,drop_rate_mean,drop_rate_ci_lo,drop_rate_ci_hi,fairness_mean,fairness_ci_lo,fairness_ci_hi,col_rate_mean,col_rate_ci_lo,col_rate_ci_hi,retry_rate_mean,retry_rate_ci_lo,retry_rate_ci_hi,raw_fit_pass_mean,raw_fit_pass_ci_lo,raw_fit_pass_ci_hi,assoc_mean_ms_mean,assoc_mean_ms_ci_lo,assoc_mean_ms_ci_hi,assoc_max_ms_mean,assoc_max_ms_ci_lo,assoc_max_ms_ci_hi,assoc_scan_ms_mean,assoc_scan_ms_ci_lo,assoc_scan_ms_ci_hi,assoc_auth_ms_mean,assoc_auth_ms_ci_lo,assoc_auth_ms_ci_hi,assoc_req_ms_mean,assoc_req_ms_ci_lo,assoc_req_ms_ci_hi,assoc_frac_mean,assoc_frac_ci_lo,assoc_frac_ci_hi,e_total_mj_mean,e_total_mj_ci_lo,e_total_mj_ci_hi,e_tx_mj_mean,e_tx_mj_ci_lo,e_tx_mj_ci_hi,e_rx_mj_mean,e_rx_mj_ci_lo,e_rx_mj_ci_hi,e_idle_mj_mean,e_idle_mj_ci_lo,e_idle_mj_ci_hi,e_sleep_mj_mean,e_sleep_mj_ci_lo,e_sleep_mj_ci_hi,e_retx_mj_mean,e_retx_mj_ci_lo,e_retx_mj_ci_hi,retx_energy_pct_mean,retx_energy_pct_ci_lo,retx_energy_pct_ci_hi,avg_tx_retries_mean,avg_tx_retries_ci_lo,avg_tx_retries_ci_hi,ee_kbit_j_mean,ee_kbit_j_ci_lo,ee_kbit_j_ci_hi,e_per_pkt_uj_mean,e_per_pkt_uj_ci_lo,e_per_pkt_uj_ci_hi
adaptive,500,2.0,3,0.115911,0.113432,0.11839,29.673244,29.038551,30.307938,4989.135711,4703.602359,5274.669064,9884.032624,8972.187691,10795.877558,0.884089,0.88161,0.886568,0.647238,0.634799,0.659677,0.512397,0.50854,0.516254,0.511618,0.507962,0.515274,1.0,1.0,1.0,36277.599648,33431.152736,39124.04656,60361.842667,53343.902295,67379.783038,12751.893394,12745.473195,12758.313592,11024.858779,9816.443224,12233.274334,12492.231713,10813.142209,14171.321217,1.0,1.0,1.0,985.456767,930.111403,1040.802131,32.291792,32.134643,32.448941,102.822618,102.782938,102.862297,811.550022,754.941845,868.1582,38.792335,37.376621,40.208049,14.018781,13.725361,14.3122,1.42313,1.326101,1.520159,10.103333,9.865441,10.341225,7.228395,6.93073,7.52606,141689.702885,135806.630662,147572.775108
cluster_csv,500,2.0,3,0.1113,0.110262,0.112338,28.4928,28.227169,28.758431,4963.663836,4897.99989,5029.327782,11099.670201,10193.011342,12006.329061,0.8887,0.887662,0.889738,0.478587,0.43651,0.520665,0.498288,0.496849,0.499727,0.497464,0.496014,0.498914,1.0,1.0,1.0,31687.955386,30363.524605,33012.386167,48318.830222,46782.024532,49855.635912,12750.826667,12742.756245,12758.897088,8937.078962,8157.828422,9716.329502,9992.024901,9339.782885,10644.266918,1.0,1.0,1.0,898.496686,873.329466,923.663906,30.199517,30.066375,30.332659,102.749482,102.717579,102.781384,724.574564,698.740131,750.408996,40.973124,40.327193,41.619054,13.062672,12.820965,13.304379,1.45397,1.402511,1.505429,9.506,9.235082,9.776918,7.611632,7.332781,7.890483,134550.547663,129595.049872,139506.045454
cluster_adaptive,500,2.0,3,0.116933,0.115518,0.118348,29.934933,29.572673,30.297194,4749.384185,4686.290541,4812.477829,9760.215018,9443.698764,10076.731272,0.883067,0.881652,0.884482,0.542129,0.523596,0.560661,0.508434,0.505582,0.511286,0.507845,0.504966,0.510724,1.0,1.0,1.0,31161.820116,29838.411831,32485.228402,51020.271556,48453.98383,53586.559281,12751.602923,12745.47409,12757.731755,8547.766474,7943.171133,9152.361814,9856.542096,9115.27919,10597.805002,1.0,1.0,1.0,888.945965,863.236731,914.655198,32.460067,32.314677,32.605457,102.783523,102.747935,102.81911,712.432247,686.198665,738.665829,41.270128,40.613739,41.926516,14.313571,13.92746,14.699683,1.610208,1.582922,1.637494,10.214,9.879324,10.548676,8.082871,7.768806,8.396935,126708.154293,121826.351819,131589.956766
laca,500,2.0,3,0.106333,0.104736,0.107931,27.221333,26.812449,27.630218,5765.563039,5567.954277,5963.171801,11863.784532,10794.78702,12932.782044,0.893667,0.892069,0.895264,0.673683,0.650887,0.696479,0.496533,0.491113,0.501954,0.495906,0.490101,0.501711,0.981578,0.975686,0.98747,31462.067892,29856.462215,33067.673568,49975.446222,46762.63497,53188.257475,12751.339835,12744.070049,12758.60962,8871.04458,8095.47981,9646.609351,9832.356279,8997.650948,10667.061611,1.0,1.0,1.0,897.048314,867.082372,927.014255,29.262138,29.197233,29.327042,102.748863,102.682693,102.815034,724.048427,693.341842,754.755013,40.988886,40.220801,41.75697,12.599645,12.418814,12.780475,1.404797,1.340171,1.469423,9.324667,9.189018,9.460315,7.28396,6.976029,7.591891,140610.081651,134649.783519,146570.379783
chang2019,500,2.0,3,0.0561,0.046202,0.065998,14.3616,11.827639,16.895561,3858.417265,3425.061222,4291.773308,7690.069156,6547.179283,8832.959029,0.9439,0.934002,0.953798,0.390013,0.356987,0.423039,0.670424,0.636823,0.704025,0.652271,0.629202,0.67534,1.0,1.0,1.0,38635.148113,20708.353892,56561.942334,60045.815111,42951.77861,77139.851612,12751.026427,12742.129554,12759.9233,13641.916779,213.176646,27070.656912,12217.223579,7768.127701,16666.319456,1.0,1.0,1.0,1372.052331,1142.57666,1601.528002,33.761539,33.596813,33.926265,102.481868,102.344392,102.619344,1206.901716,971.558294,1442.245138,28.907208,23.022855,34.791562,22.07408,21.179977,22.968183,1.614658,1.292121,1.937195,14.652,14.281809,15.022191,2.511748,2.479506,2.54399,407691.405557,402447.490406,412935.320709
etaroa,500,2.0,3,0.113911,0.111544,0.116279,29.161244,28.555166,29.767323,5036.91868,4901.749416,5172.087945,9824.869972,9398.538881,10251.201062,0.886089,0.883721,0.888456,0.638903,0.620004,0.657802,0.51703,0.511737,0.522323,0.51613,0.510402,0.521858,1.0,1.0,1.0,35597.365615,34792.394095,36402.337135,58445.292889,56129.354309,60761.231468,12751.037961,12744.524017,12757.551905,10975.068174,10521.899524,11428.236825,11855.519057,10981.778321,12729.259793,1.0,1.0,1.0,973.083941,956.917319,989.250563,32.434378,32.360448,32.508307,102.805409,102.775152,102.835665,798.731616,782.167271,815.295962,39.112538,38.698236,39.52684,14.33825,13.99083,14.68567,1.473541,1.426759,1.520323,10.288667,10.041911,10.535422,7.192546,6.986538,7.398553,142382.291922,138286.679936,146477.903909
no_raw,500,3.0,3,0.021417,0.020571,0.022262,3.655111,3.510808,3.799414,2883.431817,2651.294734,3115.568901,4895.211418,4861.082417,4929.340418,0.978583,0.977738,0.979429,0.978928,0.970131,0.987725,0.98546,0.983353,0.987568,0.86314,0.860969,0.865312,1.0,1.0,1.0,4130.367191,2636.432288,5624.302093,69829.674667,8496.769131,131162.580202,1180.908706,1115.23907,1246.578343,346.785908,247.087599,446.484216,2598.751357,1100.493744,4097.008971,0.073333,0.065744,0.080923,2502.822404,2502.711435,2502.933372,38.459699,38.322874,38.596525,101.319816,101.302574,101.337058,2363.042889,2363.032572,2363.053206,0.0,0.0,0.0,31.988138,31.864861,32.111415,1.278083,1.273211,1.282954,50.812667,49.303593,52.321741,0.350495,0.336669,0.364321,2922070.618983,2807622.779809,3036518.458156
static,500,3.0,3,0.165967,0.164365,0.167569,28.324978,28.051565,28.598391,4610.867542,4339.423593,4882.311491,10312.905419,9749.708438,10876.102399,0.834033,0.832431,0.835635,0.651086,0.632778,0.669394,0.522515,0.52022,0.524809,0.521751,0.51933,0.524171,1.0,1.0,1.0,25001.297405,24410.413132,25592.181678,53677.883556,50750.593605,56605.173506,12750.953876,12743.420723,12758.487029,5140.164325,4773.870343,5506.458308,7100.148281,6791.517294,7408.779268,1.0,1.0,1.0,773.562586,762.500334,784.624838,32.434115,32.317868,32.550362,102.746799,102.72522,102.768378,594.154225,582.722349,605.586102,44.227446,43.941827,44.513066,14.47648,14.277967,14.674993,1.871406,1.868789,1.874022,10.253333,10.052097,10.45457,8.788221,8.581521,8.99492,116526.569079,113785.248152,119267.890006
adaptive,500,3.0,3,0.1692,0.166782,0.171618,28.8768,28.464086,29.289514,4201.458909,4139.1714,4263.746418,9497.316133,9244.459925,9750.17234,0.8308,0.828382,0.833218,0.656765,0.585359,0.728171,0.519001,0.513621,0.524381,0.518128,0.513033,0.523223,1.0,1.0,1.0,35488.53463,34915.817953,36061.251307,60816.367111,58890.709023,62742.0252,12751.736332,12742.873837,12760.598826,10718.47211,9936.892596,11500.051625,12005.864265,11202.85154,12808.876989,1.0,1.0,1.0,970.684129,959.150082,982.218176,32.339978,32.259676,32.420279,102.817992,102.794688,102.841295,796.354021,784.540182,808.16786,39.172139,38.87672,39.467557,13.92224,13.685982,14.158498,1.434292,1.404798,1.463787,10.077333,10.023742,10.130924,7.139781,7.04657,7.232993,143424.405595,141546.353548,145302.457641
cluster_csv,500,3.0,3,0.158467,0.156115,0.160818,27.044978,26.643674,27.446281,4429.933068,4333.780412,4526.085724,11222.320546,10447.753855,11996.887236,0.841533,0.839182,0.843885,0.551895,0.539843,0.563947,0.502309,0.500583,0.504035,0.501505,0.501023,0.501987,1.0,1.0,1.0,31725.133038,31065.26511,32385.000967,49483.492,47362.592953,51604.391047,12751.388689,12745.887435,12756.889943,8943.301102,8429.248637,9457.353567,10019.23647,9752.896541,10285.5764,1.0,1.0,1.0,897.822075,884.489976,911.154175,29.583555,29.507476,29.659635,102.745897,102.713234,102.77856,724.516303,710.913496,738.11911,40.97632,40.635919,41.316721,12.705453,12.68315,12.727756,1.415174,1.394761,1.435587,9.366667,9.246456,9.486877,7.229727,7.051096,7.408359,141646.763273,138151.181461,145142.345086
