policy,num_stas,n_seeds,critical_pdr_mean,critical_pdr_ci_lo,critical_pdr_ci_hi,high_pdr_mean,high_pdr_ci_lo,high_pdr_ci_hi,normal_pdr_mean,normal_pdr_ci_lo,normal_pdr_ci_hi,overall_pdr_mean,overall_pdr_ci_lo,overall_pdr_ci_hi,critical_throughput_share_mean,critical_throughput_share_ci_lo,critical_throughput_share_ci_hi,high_throughput_share_mean,high_throughput_share_ci_lo,high_throughput_share_ci_hi,normal_throughput_share_mean,normal_throughput_share_ci_lo,normal_throughput_share_ci_hi
static,600,3,0.201628,0.139744,0.263513,0.201923,0.18924,0.214606,0.216827,0.207749,0.225905,0.211806,0.207451,0.21616,0.091972,0.065207,0.118737,0.227203,0.215453,0.238952,0.680825,0.643647,0.718004
adaptive,600,3,0.219109,0.173853,0.264365,0.208139,0.187143,0.229136,0.207742,0.202656,0.212828,0.208935,0.203744,0.214126,0.101392,0.079826,0.122958,0.237406,0.216165,0.258647,0.661202,0.660706,0.661698
cluster_csv,600,3,0.208812,0.170645,0.246979,0.2027,0.178449,0.226951,0.216305,0.205664,0.226946,0.212338,0.210698,0.213978,0.09505,0.078271,0.111828,0.227528,0.199468,0.255588,0.677422,0.644626,0.710219
cluster_adaptive,600,3,0.211925,0.191343,0.232508,0.202506,0.181476,0.223536,0.21982,0.208847,0.230794,0.214931,0.21397,0.215891,0.095317,0.08586,0.104774,0.224567,0.200268,0.248867,0.680116,0.648923,0.711309
laca,600,3,0.195402,0.150358,0.240447,0.192696,0.189053,0.19634,0.194793,0.192194,0.197391,0.194352,0.191856,0.196848,0.097163,0.075826,0.1185,0.236308,0.230794,0.241821,0.66653,0.649948,0.683112
chang2019,600,3,0.090517,0.076578,0.104456,0.097708,0.085806,0.10961,0.101469,0.090382,0.112556,0.099514,0.089826,0.109201,0.088055,0.07019,0.105921,0.233949,0.228286,0.239612,0.677996,0.662726,0.693265
etaroa,600,3,0.222941,0.211057,0.234824,0.20542,0.185346,0.225493,0.206175,0.196502,0.215849,0.207616,0.2043,0.210931,0.103798,0.09935,0.108246,0.235826,0.211776,0.259877,0.660376,0.633368,0.687384
no_raw,800,3,0.026813,0.022663,0.030964,0.022863,0.021802,0.023925,0.020403,0.018551,0.022256,0.02158,0.020718,0.022441,0.111862,0.093027,0.130698,0.258342,0.236081,0.280602,0.629796,0.596034,0.663558
static,800,3,0.164159,0.12568,0.202638,0.123362,0.108802,0.137922,0.142198,0.13676,0.147636,0.139583,0.137376,0.141791,0.105828,0.081697,0.129959,0.215387,0.193325,0.237449,0.678785,0.643597,0.713973
adaptive,800,3,0.131559,0.116321,0.146796,0.129915,0.122095,0.137734,0.135788,0.133069,0.138507,0.133976,0.13184,0.136111,0.088372,0.078621,0.098123,0.236369,0.221495,0.251243,0.675259,0.670119,0.6804
cluster_csv,800,3,0.16223,0.120902,0.203558,0.128561,0.116783,0.14034,0.140739,0.136412,0.145066,0.139705,0.136811,0.142599,0.104459,0.0799,0.129018,0.224283,0.206839,0.241727,0.671258,0.636902,0.705613
cluster_adaptive,800,3,0.147377,0.138952,0.155801,0.131054,0.1182,0.143908,0.133912,0.131856,0.135967,0.134427,0.130615,0.138239,0.098663,0.095152,0.102174,0.237594,0.219751,0.255437,0.663743,0.64591,0.681576
laca,800,3,0.133295,0.116945,0.149645,0.125285,0.109814,0.140755,0.132557,0.123395,0.141718,0.130851,0.124858,0.136844,0.091673,0.081992,0.101355,0.233383,0.206844,0.259921,0.674944,0.638818,0.71107
chang2019,800,3,0.079282,0.063273,0.095292,0.071937,0.060598,0.083277,0.07007,0.052227,0.087912,0.071354,0.055589,0.087119,0.100096,0.089682,0.11051,0.246132,0.226516,0.265748,0.653772,0.624906,0.682638
etaroa,800,3,0.136767,0.111196,0.162337,0.123718,0.10563,0.141806,0.134146,0.12725,0.141043,0.13184,0.12711,0.13657,0.093435,0.073126,0.113744,0.228655,0.201595,0.255716,0.677909,0.651607,0.704211
no_raw,1000,3,0.02091,0.019172,0.022647,0.016268,0.015443,0.017093,0.015366,0.014405,0.016328,0.016097,0.015491,0.016704,0.118198,0.110353,0.126043,0.253715,0.236344,0.271085,0.628087,0.6053,0.650874
static,1000,3,0.123779,0.10374,0.143818,0.09357,0.074451,0.11269,0.109655,0.101976,0.117333,0.106903,0.101806,0.112,0.105304,0.093088,0.117519,0.219703,0.176203,0.263203,0.674993,0.632054,0.717933
adaptive,1000,3,0.099206,0.078689,0.119724,0.096171,0.08495,0.107392,0.096209,0.089171,0.103247,0.096472,0.093349,0.099595,0.093538,0.07645,0.110626,0.250345,0.213317,0.287374,0.656117,0.628348,0.683885
cluster_csv,1000,3,0.104396,0.091277,0.117514,0.091523,0.08199,0.101056,0.102267,0.093378,0.111156,0.099764,0.096082,0.103446,0.095279,0.080347,0.11021,0.230312,0.203881,0.256742,0.674409,0.635246,0.713573
cluster_adaptive,1000,3,0.102106,0.08606,0.118153,0.086377,0.08348,0.089273,0.098826,0.09401,0.103643,0.096,0.090884,0.101116,0.096736,0.086265,0.107207,0.225874,0.218277,0.23347,0.67739,0.674272,0.680508
laca,1000,3,0.096459,0.077965,0.114953,0.091523,0.079682,0.103363,0.099164,0.095379,0.10295,0.097,0.094575,0.099425,0.090504,0.072832,0.108176,0.23683,0.206732,0.266928,0.672666,0.658674,0.686658
chang2019,1000,3,0.059829,0.047666,0.071992,0.056496,0.050718,0.062275,0.05754,0.05085,0.064229,0.057486,0.050822,0.06415,0.094608,0.086515,0.102701,0.246768,0.230972,0.262565,0.658624,0.645321,0.671927
etaroa,1000,3,0.100275,0.085487,0.115062,0.095452,0.079862,0.111041,0.096737,0.093343,0.10013,0.096736,0.093475,0.099997,0.09429,0.083556,0.105024,0.24756,0.214981,0.280138,0.65815,0.615616,0.700685
