policy,num_stas,packet_interval,n_seeds,pdr_mean,pdr_ci_lo,pdr_ci_hi,tput_kbps_mean,tput_kbps_ci_lo,tput_kbps_ci_hi,avg_delay_ms_mean,avg_delay_ms_ci_lo,avg_delay_ms_ci_hi,p95_delay_ms_mean,p95_delay_ms_ci_lo,p95_delay_ms_ci_hi,drop_rate_mean,drop_rate_ci_lo,drop_rate_ci_hi,fairness_mean,fairness_ci_lo,fairness_ci_hi,col_rate_mean,col_rate_ci_lo,col_rate_ci_hi,retry_rate_mean,retry_rate_ci_lo,retry_rate_ci_hi,raw_fit_pass_mean,raw_fit_pass_ci_lo,raw_fit_pass_ci_hi,assoc_mean_ms_mean,assoc_mean_ms_ci_lo,assoc_mean_ms_ci_hi,assoc_max_ms_mean,assoc_max_ms_ci_lo,assoc_max_ms_ci_hi,assoc_scan_ms_mean,assoc_scan_ms_ci_lo,assoc_scan_ms_ci_hi,assoc_auth_ms_mean,assoc_auth_ms_ci_lo,assoc_auth_ms_ci_hi,assoc_req_ms_mean,assoc_req_ms_ci_lo,assoc_req_ms_ci_hi,assoc_frac_mean,assoc_frac_ci_lo,assoc_frac_ci_hi,e_total_mj_mean,e_total_mj_ci_lo,e_total_mj_ci_hi,e_tx_mj_mean,e_tx_mj_ci_lo,e_tx_mj_ci_hi,e_rx_mj_mean,e_rx_mj_ci_lo,e_rx_mj_ci_hi,e_idle_mj_mean,e_idle_mj_ci_lo,e_idle_mj_ci_hi,e_sleep_mj_mean,e_sleep_mj_ci_lo,e_sleep_mj_ci_hi,e_retx_mj_mean,e_retx_mj_ci_lo,e_retx_mj_ci_hi,retx_energy_pct_mean,retx_energy_pct_ci_lo,retx_energy_pct_ci_hi,avg_tx_retries_mean,avg_tx_retries_ci_lo,avg_tx_retries_ci_hi,ee_kbit_j_mean,ee_kbit_j_ci_lo,ee_kbit_j_ci_hi,e_per_pkt_uj_mean,e_per_pkt_uj_ci_lo,e_per_pkt_uj_ci_hi
adaptive,300,3.0,1,0.354667,0.354667,0.354667,36.317867,36.317867,36.317867,3377.897559,3377.897559,3377.897559,7258.590601,7258.590601,7258.590601,0.645333,0.645333,0.645333,0.783159,0.783159,0.783159,0.483874,0.483874,0.483874,0.483707,0.483707,0.483707,1.0,1.0,1.0,19784.762444,19784.762444,19784.762444,35000.372,35000.372,35000.372,7751.24008,7751.24008,7751.24008,5475.486351,5475.486351,5475.486351,6553.230556,6553.230556,6553.230556,1.0,1.0,1.0,748.822264,748.822264,748.822264,55.278704,55.278704,55.278704,103.318674,103.318674,103.318674,544.832465,544.832465,544.832465,45.392421,45.392421,45.392421,19.917216,19.917216,19.917216,2.659806,2.659806,2.659806,13.273333,13.273333,13.273333,19.399993,19.399993,19.399993,52783.524271,52783.524271,52783.524271
cluster_csv,300,3.0,1,0.357333,0.357333,0.357333,36.590933,36.590933,36.590933,3347.786138,3347.786138,3347.786138,7357.116538,7357.116538,7357.116538,0.642667,0.642667,0.642667,0.750402,0.750402,0.750402,0.47548,0.47548,0.47548,0.475224,0.475224,0.475224,1.0,1.0,1.0,17609.040378,17609.040378,17609.040378,30478.924,30478.924,30478.924,7751.377644,7751.377644,7751.377644,4704.869347,4704.869347,4704.869347,5143.805253,5143.805253,5143.805253,1.0,1.0,1.0,715.040711,715.040711,715.040711,54.4968,54.4968,54.4968,103.282824,103.282824,103.282824,511.020916,511.020916,511.020916,46.240171,46.240171,46.240171,19.231984,19.231984,19.231984,2.689635,2.689635,2.689635,12.75,12.75,12.75,20.469287,20.469287,20.469287,50026.169123,50026.169123,50026.169123
cluster_adaptive,300,3.0,1,0.36525,0.36525,0.36525,37.4016,37.4016,37.4016,3239.219182,3239.219182,3239.219182,7173.482323,7173.482323,7173.482323,0.63475,0.63475,0.63475,0.794221,0.794221,0.794221,0.483332,0.483332,0.483332,0.483087,0.483087,0.483087,1.0,1.0,1.0,16789.49292,16789.49292,16789.49292,31982.645333,31982.645333,31982.645333,7751.409876,7751.409876,7751.409876,4284.054071,4284.054071,4284.054071,4742.5606,4742.5606,4742.5606,1.0,1.0,1.0,693.979575,693.979575,693.979575,56.990592,56.990592,56.990592,103.343981,103.343981,103.343981,486.806901,486.806901,486.806901,46.838101,46.838101,46.838101,20.57136,20.57136,20.57136,2.96426,2.96426,2.96426,13.713333,13.713333,13.713333,21.557753,21.557753,21.557753,47500.313155,47500.313155,47500.313155
laca,300,3.0,1,0.321417,0.321417,0.321417,32.913067,32.913067,32.913067,3922.4477,3922.4477,3922.4477,8461.916226,8461.916226,8461.916226,0.678583,0.678583,0.678583,0.748625,0.748625,0.748625,0.465293,0.465293,0.465293,0.464922,0.464922,0.464922,0.987377,0.987377,0.987377,16551.831462,16551.831462,16551.831462,27486.697333,27486.697333,27486.697333,7751.250196,7751.250196,7751.250196,4157.545,4157.545,4157.545,4639.780044,4639.780044,4639.780044,1.0,1.0,1.0,694.906193,694.906193,694.906193,48.705328,48.705328,48.705328,103.172425,103.172425,103.172425,496.405916,496.405916,496.405916,46.622524,46.622524,46.622524,16.973552,16.973552,16.973552,2.442567,2.442567,2.442567,11.603333,11.603333,11.603333,18.945329,18.945329,18.945329,54050.26131,54050.26131,54050.26131
chang2019,300,3.0,1,0.158,0.158,0.158,16.1792,16.1792,16.1792,2613.097875,2613.097875,2613.097875,5447.308244,5447.308244,5447.308244,0.842,0.842,0.842,0.631933,0.631933,0.631933,0.69968,0.69968,0.69968,0.683009,0.683009,0.683009,1.0,1.0,1.0,25670.349622,25670.349622,25670.349622,38468.589333,38468.589333,38468.589333,7753.348062,7753.348062,7753.348062,10151.63204,10151.63204,10151.63204,7749.775933,7749.775933,7749.775933,1.0,1.0,1.0,1187.753652,1187.753652,1187.753652,55.859568,55.859568,55.859568,102.716105,102.716105,102.716105,995.037435,995.037435,995.037435,34.140543,34.140543,34.140543,36.583232,36.583232,36.583232,3.080035,3.080035,3.080035,22.786667,22.786667,22.786667,5.448672,5.448672,5.448672,187935.704365,187935.704365,187935.704365
etaroa,300,3.0,1,0.354,0.354,0.354,36.2496,36.2496,36.2496,3216.426168,3216.426168,3216.426168,6990.198688,6990.198688,6990.198688,0.646,0.646,0.646,0.755902,0.755902,0.755902,0.488863,0.488863,0.488863,0.488529,0.488529,0.488529,1.0,1.0,1.0,19718.67548,19718.67548,19718.67548,36100.118667,36100.118667,36100.118667,7752.891316,7752.891316,7752.891316,5413.257831,5413.257831,5413.257831,6549.07196,6549.07196,6549.07196,1.0,1.0,1.0,749.206349,749.206349,749.206349,55.696288,55.696288,55.696288,103.293168,103.293168,103.293168,544.825245,544.825245,544.825245,45.391648,45.391648,45.391648,20.342752,20.342752,20.342752,2.71524,2.71524,2.71524,13.446667,13.446667,13.446667,19.3536,19.3536,19.3536,52910.052862,52910.052862,52910.052862
no_raw,300,2.0,1,0.090833,0.090833,0.090833,13.952,13.952,13.952,691.521788,691.521788,691.521788,3881.049901,3881.049901,3881.049901,0.909167,0.909167,0.909167,0.980629,0.980629,0.980629,0.713321,0.713321,0.713321,0.671837,0.671837,0.671837,1.0,1.0,1.0,8061.963354,8061.963354,8061.963354,83548.382667,83548.382667,83548.382667,1087.002707,1087.002707,1087.002707,946.065899,946.065899,946.065899,5315.38101,5315.38101,5315.38101,0.11,0.11,0.11,2522.166197,2522.166197,2522.166197,58.716976,58.716976,58.716976,103.293962,103.293962,103.293962,2360.155259,2360.155259,2360.155259,0.0,0.0,0.0,44.21064,44.21064,44.21064,1.752884,1.752884,1.752884,34.89,34.89,34.89,2.212701,2.212701,2.212701,462782.788371,462782.788371,462782.788371
static,300,2.0,1,0.170444,0.170444,0.170444,26.180267,26.180267,26.180267,4889.501117,4889.501117,4889.501117,9582.269849,9582.269849,9582.269849,0.829556,0.829556,0.829556,0.593198,0.593198,0.593198,0.499897,0.499897,0.499897,0.49969,0.49969,0.49969,1.0,1.0,1.0,10411.430964,10411.430964,10411.430964,20001.122667,20001.122667,20001.122667,7752.702724,7752.702724,7752.702724,1290.27884,1290.27884,1290.27884,1368.4494,1368.4494,1368.4494,1.0,1.0,1.0,551.781295,551.781295,551.781295,43.415344,43.415344,43.415344,102.879526,102.879526,102.879526,355.319689,355.319689,355.319689,50.166736,50.166736,50.166736,17.89168,17.89168,17.89168,3.242531,3.242531,3.242531,11.926667,11.926667,11.926667,18.978727,18.978727,18.978727,53955.146189,53955.146189,53955.146189
adaptive,300,2.0,1,0.239167,0.239167,0.239167,36.736,36.736,36.736,4191.744402,4191.744402,4191.744402,7607.165105,7607.165105,7607.165105,0.760833,0.760833,0.760833,0.711022,0.711022,0.711022,0.480106,0.480106,0.480106,0.479692,0.479692,0.479692,1.0,1.0,1.0,21059.664684,21059.664684,21059.664684,36734.389333,36734.389333,36734.389333,7751.306289,7751.306289,7751.306289,6114.984613,6114.984613,6114.984613,7176.938311,7176.938311,7176.938311,1.0,1.0,1.0,772.827187,772.827187,772.827187,55.136544,55.136544,55.136544,103.37168,103.37168,103.37168,569.544372,569.544372,569.544372,44.774591,44.774591,44.774591,19.92344,19.92344,19.92344,2.577994,2.577994,2.577994,13.416667,13.416667,13.416667,19.013824,19.013824,19.013824,53855.553068,53855.553068,53855.553068
cluster_csv,300,2.0,1,0.237278,0.237278,0.237278,36.445867,36.445867,36.445867,4456.641216,4456.641216,4456.641216,8234.579694,8234.579694,8234.579694,0.762722,0.762722,0.762722,0.724151,0.724151,0.724151,0.475682,0.475682,0.475682,0.474581,0.474581,0.474581,1.0,1.0,1.0,18407.38456,18407.38456,18407.38456,30503.045333,30503.045333,30503.045333,7751.303542,7751.303542,7751.303542,5004.208551,5004.208551,5004.208551,5637.002573,5637.002573,5637.002573,1.0,1.0,1.0,728.877925,728.877925,728.877925,54.438224,54.438224,54.438224,103.300956,103.300956,103.300956,525.254395,525.254395,525.254395,45.884351,45.884351,45.884351,19.819632,19.819632,19.819632,2.719198,2.719198,2.719198,13.23,13.23,13.23,20.001081,20.001081,20.001081,51197.231938,51197.231938,51197.231938
