label,n,seed,pdr,tput_kbps,avg_delay_ms,p95_delay_ms,drop_rate,fairness,col_rate,retry_rate,e_total_mj,e_sleep_mj,e_idle_mj,ee_kbit_j,e_per_pkt_uj
ddqn+,100,99,0.954583,19.549867,1226.921796,3829.393887,0.045417,0.994087,0.432489,0.432278,465.197486,53.216862,229.195321,50.429851,20305.433681
ddqn+,200,42,0.884792,36.241067,2212.447657,4956.869079,0.115208,0.995475,0.298929,0.298929,455.002658,52.96797,241.677971,47.790138,21427.014755
ddqn+,200,7,0.96,39.3216,2182.831457,4942.333145,0.04,0.99726,0.254872,0.254872,466.257448,52.729184,250.945268,50.600714,20236.868422
ddqn+,200,99,0.898958,36.821333,2383.932982,5915.66827,0.101042,0.991555,0.307525,0.307525,470.156384,52.653336,253.887957,46.990322,21791.721163
ddqn+,400,42,0.319583,26.180267,4266.110761,12363.568853,0.680417,0.743446,0.406773,0.406773,437.827762,52.73922,254.313383,17.938744,57083.150198
ddqn+,400,7,0.48125,39.424,3795.91217,9689.537968,0.51875,0.849616,0.372855,0.372751,467.705328,52.178644,275.672085,25.287717,40493.967813
ddqn+,400,99,0.527917,43.246933,3736.746715,9017.165316,0.472083,0.870134,0.372281,0.372281,431.547441,53.173312,235.538067,30.064087,34060.57151
ddqn+,600,42,0.129792,15.9488,7816.462086,23321.136724,0.870208,0.629739,0.461858,0.461858,398.735714,53.429049,228.329512,7.999685,128005.044591
ddqn+,600,7,0.183125,22.5024,5217.654525,13900.053247,0.816875,0.668259,0.493738,0.493738,488.931279,51.255992,314.548697,9.204729,111247.162369
ddqn+,600,99,0.207986,25.557333,5982.195414,15924.84513,0.792014,0.708768,0.463275,0.463275,455.82655,52.110031,280.352653,11.213622,91317.505774
ddqn+,800,42,0.197396,32.341333,6239.959906,18624.395168,0.802604,0.688833,0.401615,0.401615,519.359941,50.419,348.295679,9.340728,109627.428197
ddqn+,800,7,0.163021,26.709333,8480.838091,25465.290597,0.836979,0.754629,0.351232,0.351232,501.094246,50.780738,334.362637,7.995302,128075.206758
ddqn+,800,99,0.20151,33.015467,6567.507218,18702.099977,0.79849,0.717106,0.415995,0.415995,513.445286,50.578241,341.890859,9.645273,106165.993533
ddqn+,1000,42,0.134875,27.6224,8458.518048,22959.827964,0.865125,0.696455,0.459611,0.459525,566.062476,49.13666,400.034484,5.855693,174872.5598
ddqn+,1000,7,0.173667,35.566933,8062.123764,22860.039448,0.826333,0.709534,0.3845,0.3845,552.434666,49.502866,385.285339,7.725858,132541.906534
ddqn+,1000,99,0.144833,29.661867,7977.244815,23338.808616,0.855167,0.672225,0.422533,0.422533,558.257881,49.339701,391.89102,6.375949,160603.53298
ppo,100,42,0.949583,19.447467,1480.453624,4066.249557,0.050417,0.996344,0.290099,0.290099,386.307101,54.83296,166.536283,60.410383,16950.728448
ppo,100,7,0.999583,20.471467,954.163395,2889.992045,0.000417,0.999983,0.249598,0.249598,383.826407,54.890371,164.249045,64.002267,15999.433386
ppo,100,99,0.914583,18.730667,2020.56892,5259.189676,0.085417,0.994946,0.341495,0.341495,414.463265,54.180406,192.316338,54.231103,18882.153322
ppo,200,42,0.761458,31.189333,2692.829881,6961.803645,0.238542,0.978669,0.38058,0.380441,466.902777,52.69339,252.552063,40.080293,25548.715562
ppo,200,7,0.558542,22.877867,3459.297165,8646.456438,0.441458,0.909406,0.44014,0.44014,431.034124,53.363985,227.033839,31.846017,32154.72764
ppo,200,99,0.904792,37.060267,2083.457398,4992.398002,0.095208,0.990061,0.379024,0.379024,508.059701,51.85297,285.066897,43.766825,23396.716594
ppo,400,42,0.462083,37.853867,4196.989364,11551.625232,0.537917,0.885018,0.318759,0.318759,429.004001,53.064442,240.766533,26.470989,38683.859427
ppo,400,7,0.406875,33.3312,4429.49058,11146.702026,0.593125,0.802789,0.405244,0.405244,435.795107,52.916588,246.577991,22.945095,44628.27519
ppo,400,99,0.33875,27.7504,5338.461208,14485.293287,0.66125,0.77871,0.390276,0.390276,401.622061,53.660093,217.511384,20.728742,49400.007519
ppo,600,42,0.241875,29.7216,5812.495682,15823.623726,0.758125,0.737288,0.434167,0.434167,456.627436,52.126317,279.505999,13.017877,78661.056991
ppo,600,7,0.13625,16.7424,8753.142182,22733.700309,0.86375,0.694645,0.418392,0.418392,388.13044,53.679025,218.435103,8.627203,118694.324061
ppo,600,99,0.278125,34.176,5373.13627,14000.572815,0.721875,0.750495,0.415741,0.415741,479.754791,51.579608,301.132519,14.247278,71873.376867
ppo,800,42,0.206979,33.911467,7157.304395,20889.243248,0.793021,0.746685,0.357267,0.357267,496.058295,50.990429,325.561988,10.254279,99860.753958
ppo,800,7,0.19651,32.196267,8932.692119,26226.870154,0.80349,0.754608,0.306077,0.306077,457.163343,51.936421,287.976453,10.563927,96933.65338
ppo,800,99,0.165833,27.170133,9083.321703,26257.815361,0.834167,0.765422,0.344155,0.344155,479.920824,51.317209,312.935263,8.492067,120583.121678
ppo,1000,42,0.139333,28.535467,8619.328168,25770.037883,0.860667,0.679054,0.407603,0.407603,538.472295,49.82605,372.541305,6.359206,161026.40409
ppo,1000,7,0.119667,24.507733,8066.461697,23857.292103,0.880333,0.653079,0.462999,0.462999,621.890636,47.686072,458.155551,4.729012,216535.736606
ppo,1000,99,0.129375,26.496,6990.96369,20609.091521,0.870625,0.640047,0.452076,0.452076,607.756965,48.065026,442.911512,5.231565,195734.932237
