label,n,pdr_mean,pdr_ci_lo,pdr_ci_hi,tput_kbps_mean,tput_kbps_ci_lo,tput_kbps_ci_hi,avg_delay_ms_mean,avg_delay_ms_ci_lo,avg_delay_ms_ci_hi,p95_delay_ms_mean,p95_delay_ms_ci_lo,p95_delay_ms_ci_hi,drop_rate_mean,drop_rate_ci_lo,drop_rate_ci_hi,fairness_mean,fairness_ci_lo,fairness_ci_hi,col_rate_mean,col_rate_ci_lo,col_rate_ci_hi,retry_rate_mean,retry_rate_ci_lo,retry_rate_ci_hi,e_total_mj_mean,e_total_mj_ci_lo,e_total_mj_ci_hi,e_sleep_mj_mean,e_sleep_mj_ci_lo,e_sleep_mj_ci_hi,e_idle_mj_mean,e_idle_mj_ci_lo,e_idle_mj_ci_hi,ee_kbit_j_mean,ee_kbit_j_ci_lo,ee_kbit_j_ci_hi,e_per_pkt_uj_mean,e_per_pkt_uj_ci_lo,e_per_pkt_uj_ci_hi
ddqn+,100,0.950139,0.825554,1.074723,19.458844,16.907356,22.010333,1499.652934,204.150693,2795.155176,4203.379625,511.589811,7895.16944,0.049861,-0.074723,0.174446,0.995998,0.987566,1.00443,0.28877,-0.022563,0.600103,0.288699,-0.022333,0.599732,439.247518,380.67837,497.816667,53.521466,52.826891,54.216041,218.770499,194.935153,242.605846,53.221659,45.473778,60.96954,19283.790644,16515.929444,22051.651844
ddqn+,200,0.914583,0.815297,1.013869,37.461333,33.394584,41.528083,2259.737365,1990.009925,2529.464806,5271.623498,3885.843536,6657.403461,0.085417,-0.013869,0.184703,0.994763,0.987513,1.002013,0.287109,0.216934,0.357283,0.287109,0.216934,0.357283,463.805497,444.256754,483.35424,52.783497,52.375574,53.19142,248.837065,233.006484,264.667646,48.460392,43.749532,53.171252,21151.868113,19131.792515,23171.943711
ddqn+,400,0.442917,0.171307,0.714526,36.283733,14.033474,58.533993,3932.923215,3212.312693,4653.533738,10356.757379,5959.064387,14754.450371,0.557083,0.285474,0.828693,0.821065,0.652134,0.989997,0.38397,0.334903,0.433036,0.383935,0.334796,0.433074,445.69351,397.696848,493.690172,52.697059,51.458188,53.935929,255.174512,205.286859,305.062165,24.430183,9.255875,39.60449,43879.22984,14368.388978,73390.070703
ddqn+,600,0.173634,0.07438,0.272888,21.336178,9.139865,33.532491,6338.770675,3020.70506,9656.83629,17715.345034,5395.025947,30035.664121,0.826366,0.727112,0.92562,0.668922,0.570744,0.7671,0.472957,0.428211,0.517702,0.472957,0.428211,0.517702,447.831181,334.480152,561.182209,52.265024,49.5452,54.984848,274.410288,166.55107,382.269505,9.472679,5.439016,13.506341,110189.904245,64561.042781,155818.765709
ddqn+,800,0.187309,0.134804,0.239814,30.688711,22.086226,39.291196,7096.101738,4089.187337,10103.01614,20930.595248,11173.720754,30687.469741,0.812691,0.760186,0.865196,0.72019,0.638191,0.802188,0.389614,0.305126,0.474102,0.389614,0.305126,0.474102,511.299825,488.145958,534.453691,50.59266,50.14225,51.043069,341.516392,324.190455,358.842329,8.993768,6.812515,11.175021,114622.876163,85362.551959,143883.200367
ddqn+,1000,0.151125,0.101074,0.201176,30.9504,20.699941,41.200859,8165.962209,7527.75899,8804.165428,23052.892009,22425.378143,23680.405875,0.848875,0.798824,0.898926,0.692738,0.64571,0.739767,0.422214,0.328912,0.515517,0.422186,0.328989,0.515382,558.918341,541.930761,575.905921,49.326409,48.870621,49.782197,392.403614,374.049519,410.75771,6.6525,4.254451,9.050549,156005.999771,102501.86521,209510.134332
ppo,100,0.954583,0.848452,1.060714,19.549867,17.376304,21.723429,1485.06198,160.368879,2809.75508,4071.810426,1128.842007,7014.778845,0.045417,-0.060714,0.151548,0.997091,0.990631,1.003551,0.29373,0.179312,0.408149,0.29373,0.179312,0.408149,394.865591,352.588747,437.142436,54.634579,53.654827,55.614331,174.367222,135.645327,213.089117,59.547918,47.269456,71.826379,17277.438385,13628.273581,20926.60319
ppo,200,0.741597,0.309379,1.173816,30.375822,12.672151,48.079494,2745.194815,1032.459675,4457.929954,6866.886028,2323.335866,11410.43619,0.258403,-0.173816,0.690621,0.959378,0.850935,1.067822,0.399915,0.313349,0.486481,0.399868,0.313206,0.486531,468.665534,372.911606,564.419462,52.636782,50.755898,54.517665,254.884266,182.622972,327.145561,38.564378,23.401789,53.726967,27033.386599,15695.199218,38371.57398
ppo,400,0.402569,0.249089,0.55605,32.978489,20.405353,45.551625,4654.980384,3156.3792,6153.581567,12394.540182,7868.251106,16920.829257,0.597431,0.44395,0.750911,0.822172,0.68369,0.960654,0.371426,0.256598,0.486254,0.371426,0.256598,0.486254,422.14039,377.196443,467.084337,53.213708,52.235906,54.191509,234.951969,196.740476,273.163463,23.381608,16.187204,30.576012,44237.380712,30899.571494,57575.18993
ppo,600,0.21875,0.035629,0.401871,26.88,4.378064,49.381936,6646.258045,2080.560947,11211.955142,17519.29895,6074.245156,28964.352744,0.78125,0.598129,0.964371,0.727476,0.65496,0.799992,0.422767,0.398019,0.447514,0.422767,0.398019,0.447514,441.504222,323.131591,559.876854,52.46165,49.75586,55.167441,266.357873,159.809865,372.905881,11.964119,4.624123,19.304116,89742.919306,26885.920888,152599.917725
ppo,800,0.189774,0.136649,0.242899,31.092622,22.3886,39.796645,8391.106072,5729.995685,11052.216459,24457.976255,16779.750972,32136.201537,0.810226,0.757101,0.863351,0.755571,0.732205,0.778938,0.335833,0.269773,0.401892,0.335833,0.269773,0.401892,477.714154,429.167339,526.260969,51.414686,50.221036,52.608337,308.824568,261.306674,356.342463,9.770091,6.993652,12.54653,105792.509672,73763.461062,137821.558283
ppo,1000,0.129458,0.105028,0.153888,26.513067,21.509806,31.516327,7892.251185,5835.113094,9949.389276,23412.140502,16930.225599,29894.055406,0.870542,0.846112,0.894972,0.657393,0.608058,0.706728,0.440893,0.367996,0.51379,0.440893,0.367996,0.51379,589.373298,478.461459,700.285137,48.525716,45.688722,51.36271,424.536123,311.077972,537.994274,5.439927,3.365923,7.513932,191099.024311,121429.38218,260768.666441
