policy,n,pdr_mean,pdr_ci_lo,pdr_ci_hi,tput_kbps_mean,tput_kbps_ci_lo,tput_kbps_ci_hi,avg_delay_ms_mean,avg_delay_ms_ci_lo,avg_delay_ms_ci_hi,p95_delay_ms_mean,p95_delay_ms_ci_lo,p95_delay_ms_ci_hi,drop_rate_mean,drop_rate_ci_lo,drop_rate_ci_hi,fairness_mean,fairness_ci_lo,fairness_ci_hi,col_rate_mean,col_rate_ci_lo,col_rate_ci_hi,retry_rate_mean,retry_rate_ci_lo,retry_rate_ci_hi,raw_fit_pass_mean,raw_fit_pass_ci_lo,raw_fit_pass_ci_hi,e_total_mj_mean,e_total_mj_ci_lo,e_total_mj_ci_hi,e_sleep_mj_mean,e_sleep_mj_ci_lo,e_sleep_mj_ci_hi,e_idle_mj_mean,e_idle_mj_ci_lo,e_idle_mj_ci_hi,ee_kbit_j_mean,ee_kbit_j_ci_lo,ee_kbit_j_ci_hi,e_per_pkt_uj_mean,e_per_pkt_uj_ci_lo,e_per_pkt_uj_ci_hi,aoi_s_mean,aoi_s_ci_lo,aoi_s_ci_hi,dvr_pct_mean,dvr_pct_ci_lo,dvr_pct_ci_hi,assoc_mean_s_mean,assoc_mean_s_ci_lo,assoc_mean_s_ci_hi,assoc_max_s_mean,assoc_max_s_ci_lo,assoc_max_s_ci_hi,assoc_frac_mean,assoc_frac_ci_lo,assoc_frac_ci_hi
laca,800,0.149705,0.146599,0.152811,24.527644,24.018705,25.036584,5911.751184,5691.651771,6131.850597,16410.37965,14501.203436,18319.555864,0.850295,0.847189,0.853401,0.614543,0.609681,0.619404,0.512438,0.504874,0.520002,0.512166,0.505003,0.51933,0.979575,0.977548,0.981602,551.950619,547.989487,555.911752,49.589342,49.486403,49.69228,381.476961,377.354324,385.599597,6.665649,6.574117,6.75718,153626.573721,151523.681895,155729.465547,33.819689,33.590042,34.049337,91.439236,91.323263,91.555209,15.219143,15.153025,15.285261,21.839185,21.560709,22.117661,0.999583,0.99779,1.001376
chang2019,800,0.083056,0.081881,0.08423,13.607822,13.415461,13.800183,3564.565846,3490.86608,3638.265611,7657.931472,7049.907168,8265.955777,0.916944,0.91577,0.918119,0.714841,0.693295,0.736388,0.708899,0.706597,0.711201,0.685972,0.684409,0.687536,1.0,1.0,1.0,1062.334841,1055.727989,1068.941693,36.587707,36.417968,36.757445,901.162436,894.37134,907.953532,1.921414,1.890206,1.952621,532956.110473,524322.840035,541589.380911,35.243446,34.970996,35.515896,93.324653,93.253389,93.395917,25.136138,24.796284,25.475993,43.728116,43.169266,44.286966,0.999167,0.997374,1.00096
tasm_raw,800,0.177049,0.174137,0.17996,29.007644,28.530612,29.484677,5396.98379,4920.923862,5873.043718,16280.314457,12867.936338,19692.692575,0.822951,0.82004,0.825863,0.537621,0.478948,0.596295,0.517207,0.507614,0.526799,0.516744,0.507191,0.526297,0.999562,0.99929,0.999834,588.692573,575.379245,602.005902,48.708924,48.36933,49.048517,416.381847,402.805173,429.958522,7.391901,7.105755,7.678046,138552.619626,133143.625162,143961.61409,33.069005,31.36456,34.77345,88.104167,87.272423,88.935911,16.818602,16.009678,17.627526,27.393004,26.199386,28.586621,1.0,1.0,1.0
traw,800,0.204531,0.195006,0.214056,33.5104,31.949809,35.070991,5052.448414,4226.375651,5878.521176,14867.604161,10731.436282,19003.77204,0.795469,0.785944,0.804994,0.461529,0.432751,0.490308,0.485741,0.457704,0.513779,0.484636,0.457072,0.5122,0.998848,0.997552,1.000144,602.632434,582.501673,622.763196,48.373424,47.85036,48.896488,429.682143,408.724727,450.639559,8.342218,7.830514,8.853921,122798.950882,115279.631151,130318.270612,34.505084,33.429916,35.580253,84.239583,83.023912,85.455254,17.531918,16.471648,18.592189,28.185241,25.167374,31.203108,0.999583,0.99779,1.001376
no_raw,1000,0.049181,0.048377,0.049985,10.072178,9.90751,10.236845,2883.048627,2790.202089,2975.895165,5021.286475,5014.920348,5027.652601,0.950819,0.950015,0.951623,0.799255,0.767919,0.830591,0.739041,0.737985,0.740097,0.692511,0.691176,0.693846,1.0,1.0,1.0,2486.13151,2486.124022,2486.138997,0.0,0.0,0.0,2365.09324,2365.092646,2365.093835,0.486161,0.478212,0.494111,2106356.770746,2072006.434392,2140707.107101,44.184912,43.81073,44.559095,95.351389,95.304712,95.398066,51.214421,49.442742,52.9861,119.687152,119.194645,120.179659,0.485333,0.477744,0.492923
static,1000,0.147528,0.141672,0.153384,30.213689,29.014391,31.412987,3694.772887,3505.291708,3884.254067,8967.240564,8821.235734,9113.245393,0.852472,0.846616,0.858328,0.712497,0.703382,0.721612,0.433796,0.424913,0.442679,0.433532,0.424689,0.442376,1.0,1.0,1.0,602.940658,593.839901,612.041414,48.233721,48.000655,48.466787,435.929142,426.606589,445.251696,6.013742,5.69512,6.332364,170328.721436,161233.27428,179424.168592,41.48422,41.474414,41.494027,88.625,88.329123,88.920877,20.049853,19.563621,20.536084,31.168596,30.262458,32.074733,1.0,1.0,1.0
adaptive,1000,0.126153,0.124061,0.128245,25.836089,25.407701,26.264476,5945.311161,5907.234193,5983.388128,16700.673188,16057.617603,17343.728773,0.873847,0.871755,0.875939,0.621542,0.588592,0.654491,0.524196,0.519178,0.529214,0.523472,0.518286,0.528657,1.0,1.0,1.0,680.69606,675.828498,685.563621,46.248311,46.1236,46.373023,515.322424,510.334708,520.31014,4.554699,4.460104,4.649294,224833.289234,220141.598841,229524.979627,33.391919,32.685333,34.098504,92.829167,92.604992,93.053341,22.695024,22.282479,23.107569,36.883831,35.974033,37.793629,0.999667,0.998232,1.001101
laca,1000,0.110889,0.108658,0.113119,22.710044,22.253225,23.166864,7274.247754,7235.976121,7312.519387,21491.662748,20497.543577,22485.781918,0.889111,0.886881,0.891342,0.612105,0.607516,0.616693,0.508142,0.505759,0.510526,0.507887,0.505112,0.510661,0.978952,0.97243,0.985474,615.623524,611.648596,619.598452,47.869908,47.76818,47.971637,450.693373,446.625054,454.761693,4.426717,4.354473,4.49896,231329.355918,227540.115125,235118.596711,36.288786,35.964281,36.613292,94.530556,94.278199,94.782912,19.437317,19.225465,19.649169,27.957217,27.876251,28.038184,1.0,1.0,1.0
chang2019,1000,0.065292,0.064662,0.065921,13.371733,13.242781,13.500686,3989.626441,3762.801461,4216.45142,8661.860261,8219.997777,9103.722744,0.934708,0.934079,0.935338,0.754291,0.721843,0.786739,0.67367,0.670818,0.676523,0.656826,0.655405,0.658247,1.0,1.0,1.0,1163.549959,1149.099947,1177.999971,33.885483,33.515431,34.255535,1009.777632,994.978337,1024.576927,1.379084,1.358391,1.399776,742540.08195,731364.205182,753715.958718,35.972826,35.603742,36.341909,95.144444,94.968065,95.320824,32.258266,31.301067,33.215464,56.161218,54.268214,58.054222,1.0,1.0,1.0
tasm_raw,1000,0.145681,0.139083,0.152278,29.835378,28.484185,31.18657,7064.71077,6912.590416,7216.831125,24806.90521,19065.559548,30548.250871,0.854319,0.847722,0.860917,0.518336,0.495049,0.541622,0.477086,0.461432,0.49274,0.476512,0.460309,0.492715,0.992236,0.985313,0.99916,663.421875,660.035682,666.808068,46.688062,46.601272,46.774851,497.738393,494.268289,501.208498,5.396551,5.171847,5.621254,189786.382099,181883.421403,197689.342794,35.850417,34.295713,37.405122,90.793056,90.025072,91.561039,21.645138,21.541502,21.748773,34.627188,32.758059,36.496316,0.999667,0.998232,1.001101
traw,1000,0.15775,0.1465,0.169,32.3072,30.003252,34.611148,6002.37048,5595.466799,6409.274161,20620.342038,17994.71508,23245.968997,0.84225,0.831,0.8535,0.429579,0.392124,0.467034,0.473979,0.446622,0.501336,0.472827,0.446215,0.499438,0.998484,0.997879,0.999089,667.120585,652.208766,682.032404,46.615227,46.233123,46.997331,500.539397,485.251772,515.827021,5.812356,5.298954,6.325759,176324.817262,160765.304612,191884.329912,37.322432,34.975384,39.66948,88.577778,86.783059,90.372496,21.68245,20.704598,22.660302,35.826823,32.898919,38.754726,0.999667,0.998232,1.001101
