policy,n,pdr_mean,pdr_ci_lo,pdr_ci_hi,tput_kbps_mean,tput_kbps_ci_lo,tput_kbps_ci_hi,avg_delay_ms_mean,avg_delay_ms_ci_lo,avg_delay_ms_ci_hi,p95_delay_ms_mean,p95_delay_ms_ci_lo,p95_delay_ms_ci_hi,drop_rate_mean,drop_rate_ci_lo,drop_rate_ci_hi,fairness_mean,fairness_ci_lo,fairness_ci_hi,col_rate_mean,col_rate_ci_lo,col_rate_ci_hi,retry_rate_mean,retry_rate_ci_lo,retry_rate_ci_hi,raw_fit_pass_mean,raw_fit_pass_ci_lo,raw_fit_pass_ci_hi,e_total_mj_mean,e_total_mj_ci_lo,e_total_mj_ci_hi,e_sleep_mj_mean,e_sleep_mj_ci_lo,e_sleep_mj_ci_hi,e_idle_mj_mean,e_idle_mj_ci_lo,e_idle_mj_ci_hi,ee_kbit_j_mean,ee_kbit_j_ci_lo,ee_kbit_j_ci_hi,e_per_pkt_uj_mean,e_per_pkt_uj_ci_lo,e_per_pkt_uj_ci_hi,aoi_s_mean,aoi_s_ci_lo,aoi_s_ci_hi,dvr_pct_mean,dvr_pct_ci_lo,dvr_pct_ci_hi,assoc_mean_s_mean,assoc_mean_s_ci_lo,assoc_mean_s_ci_hi,assoc_max_s_mean,assoc_max_s_ci_lo,assoc_max_s_ci_hi,assoc_frac_mean,assoc_frac_ci_lo,assoc_frac_ci_hi
laca,200,0.939792,0.933823,0.945761,38.493867,38.24938,38.738353,1909.271625,1796.432313,2022.110937,4632.241862,4434.013093,4830.47063,0.060208,0.054239,0.066177,0.99176,0.986538,0.996982,0.352262,0.348283,0.356242,0.352221,0.348347,0.356096,0.992164,0.988864,0.995465,533.331362,530.539483,536.123242,51.196976,51.134788,51.259164,311.328938,308.885757,313.77212,43.305855,42.988025,43.623686,23645.90045,23472.649436,23819.151464,4.887059,4.731258,5.04286,9.131944,8.507991,9.755898,3.4306,3.419892,3.441308,4.528099,4.434128,4.622069,1.0,1.0,1.0
chang2019,200,0.434444,0.402266,0.466623,17.794844,16.476822,19.112867,2225.903101,2132.676065,2319.130137,5214.077227,5074.705435,5353.44902,0.565556,0.533377,0.597734,0.776791,0.748464,0.805118,0.696849,0.67244,0.721259,0.689742,0.666764,0.71272,1.0,1.0,1.0,646.162309,643.768477,648.556141,48.422205,48.391719,48.452691,421.964171,420.764258,423.164084,16.523957,15.254395,17.793518,62010.09011,57254.424586,66765.755633,20.242709,19.174105,21.311313,59.090278,55.857913,62.322642,3.513077,3.383988,3.642166,4.556444,4.06625,5.046639,1.0,1.0,1.0
tasm_raw,200,0.973125,0.931875,1.014375,39.8592,38.169597,41.548803,1497.853126,1356.889941,1638.816311,3796.649504,3176.982386,4416.316622,0.026875,-0.014375,0.068125,0.995716,0.98634,1.005092,0.366584,0.314916,0.418253,0.366584,0.314916,0.418253,0.997673,0.995621,0.999725,487.789539,478.096145,497.482933,52.46178,52.241223,52.682337,260.248398,251.485783,269.011013,49.028332,47.190468,50.866197,20889.054456,20105.709108,21672.399803,4.118856,3.421889,4.815824,4.083333,-0.921602,9.088269,3.614138,3.383684,3.844591,5.101668,4.673746,5.52959,1.0,1.0,1.0
traw,200,0.937292,0.924363,0.950221,38.391467,37.861899,38.921035,1597.44761,1570.487757,1624.407464,3905.593254,3860.874778,3950.31173,0.062708,0.049779,0.075637,0.996112,0.994411,0.997813,0.430538,0.419374,0.441702,0.430538,0.419374,0.441702,0.998327,0.996952,0.999702,506.47291,492.638626,520.307193,52.120141,51.780254,52.460028,273.258177,259.728034,286.788319,45.486463,43.625283,47.347643,22516.292756,21588.510709,23444.074804,4.571684,4.385591,4.757777,7.493056,6.394716,8.591395,4.240773,3.890337,4.59121,6.581425,5.690217,7.472633,1.0,1.0,1.0
no_raw,400,0.128958,0.125042,0.132874,10.564267,10.243457,10.885076,2869.23342,2857.780855,2880.685985,5038.317637,4957.354177,5119.281097,0.871042,0.867126,0.874958,0.877455,0.872709,0.8822,0.865654,0.864284,0.867023,0.803964,0.801139,0.80679,1.0,1.0,1.0,2513.447082,2513.42608,2513.468083,0.0,0.0,0.0,2361.654629,2361.653475,2361.655784,1.26093,1.222629,1.299231,812180.581283,787375.874486,836985.28808,21.986606,21.730326,22.242885,87.875,87.650885,88.099115,32.722148,30.721024,34.723272,81.633536,77.258326,86.008746,1.0,1.0,1.0
static,400,0.365764,0.363856,0.367671,29.963378,29.807112,30.119643,3288.725823,3176.821228,3400.630418,8846.518064,8446.653943,9246.382185,0.634236,0.632329,0.636144,0.67008,0.665719,0.674442,0.490109,0.487695,0.492523,0.489474,0.486854,0.492095,1.0,1.0,1.0,467.531435,456.57446,478.488411,52.163295,51.882386,52.444203,276.433143,265.196872,287.669415,19.227612,18.794353,19.660871,53259.675486,52055.335746,54464.015225,23.809571,23.140437,24.478704,70.586806,70.366711,70.8069,7.456516,7.257307,7.655725,10.429292,10.355514,10.50307,0.999167,0.995581,1.002752
adaptive,400,0.429132,0.425317,0.432947,35.154489,34.841958,35.46702,3167.118796,3056.220606,3278.016986,7936.561918,7378.064932,8495.058904,0.570868,0.567053,0.574683,0.772028,0.76045,0.783607,0.501221,0.499588,0.502855,0.500641,0.498571,0.502711,1.0,1.0,1.0,487.372857,483.188358,491.557356,51.805913,51.697197,51.914629,289.964393,285.608241,294.320546,21.639294,21.415501,21.863087,47321.868508,46833.088512,47810.648503,19.716888,19.031434,20.402341,64.052083,63.558353,64.545814,7.889879,7.695569,8.084188,11.974013,11.860351,12.087675,0.999167,0.995581,1.002752
laca,400,0.383507,0.379622,0.387392,31.416889,31.098658,31.73512,3749.320755,3554.868639,3943.772871,9313.477851,8797.060491,9829.895211,0.616493,0.612608,0.620378,0.752106,0.741016,0.763196,0.481763,0.479527,0.483999,0.481278,0.478926,0.483631,0.987774,0.983365,0.992184,479.342441,470.680847,488.004035,51.879409,51.659224,52.099594,287.688869,278.892339,296.485398,19.662839,19.462163,19.863514,52078.518637,51546.830764,52610.20651,21.844018,21.179116,22.508921,71.125,70.337085,71.912915,7.263186,7.217162,7.30921,10.095251,9.790729,10.399773,0.999167,0.995581,1.002752
chang2019,400,0.187604,0.182513,0.192695,15.368533,14.951486,15.78558,2529.734567,2420.105792,2639.363341,5164.857431,5095.016725,5234.698138,0.812396,0.807305,0.817487,0.692007,0.665366,0.718648,0.759508,0.749384,0.769633,0.735545,0.730261,0.740829,1.0,1.0,1.0,944.519289,875.832822,1013.205755,40.132032,38.372951,41.891113,756.799963,686.442475,827.15745,4.885242,4.393182,5.377303,209836.649733,189084.380779,230588.918687,28.22157,27.538869,28.904271,82.559028,81.841239,83.276817,11.553878,11.222781,11.884975,20.091918,19.675224,20.508613,0.999167,0.995581,1.002752
tasm_raw,400,0.444583,0.435876,0.45329,36.420267,35.706999,37.133535,3075.266536,2861.694472,3288.8386,7721.286285,6992.939004,8449.633567,0.555417,0.54671,0.564124,0.766946,0.676521,0.85737,0.502141,0.495186,0.509096,0.501726,0.495373,0.508078,0.999383,0.99914,0.999627,490.40159,484.736909,496.066271,51.76195,51.601756,51.922143,291.55215,285.066691,298.037609,22.280201,21.766591,22.79381,45962.718886,44906.500358,47018.937414,19.459645,17.928725,20.990566,62.246528,60.145368,64.347687,7.851789,7.37187,8.331708,12.35232,11.559619,13.14502,1.0,1.0,1.0
traw,400,0.442604,0.435757,0.449451,36.258133,35.697242,36.819024,2822.9116,2763.749795,2882.073406,6889.357027,6772.094662,7006.619392,0.557396,0.550549,0.564243,0.713269,0.675221,0.751316,0.516114,0.510872,0.521355,0.515073,0.509683,0.520463,0.99847,0.997111,0.999828,505.070173,500.856729,509.283618,51.416198,51.308567,51.523829,305.234997,300.928307,309.541686,21.536756,21.108308,21.965204,47548.662055,46599.239932,48498.084178,20.859845,18.987674,22.732016,60.28125,60.187944,60.374556,8.563029,8.283339,8.842718,13.373134,12.925505,13.820763,1.0,1.0,1.0
