num_stas,policy,seed,pdr,tput_kbps,avg_delay_ms,p95_delay_ms,drop_rate,fairness,col_rate,retry_rate,raw_fit_pass,e_total_mj,e_tx_mj,e_rx_mj,e_idle_mj,e_sleep_mj,ee_kbit_j,e_per_pkt_uj,assoc_mean_ms,assoc_max_ms,assoc_scan_ms,assoc_auth_ms,assoc_req_ms,assoc_frac
800,laca,7,0.150625,24.6784,5823.54184,16728.757106,0.849375,0.626335,0.510345,0.510163,1.0,622.527523,19.107786,101.751414,453.889206,47.779117,5.94634,172206.783608,15032.448464,21472.418667,7.1,6006.548807,9018.799657,0.9625
800,laca,99,0.151302,24.789333,5826.937339,16312.929599,0.848698,0.630968,0.508672,0.508581,1.0,627.714783,19.099884,101.754421,459.214496,47.645982,5.923709,172864.656283,15051.31041,21412.973333,7.1,6057.757161,8986.453248,0.96
1000,no_raw,42,0.04925,10.0864,2911.194276,5023.523359,0.95075,0.801448,0.740531,0.692947,1.0,2486.138172,19.576963,101.468059,2365.09315,0.0,0.486847,2103331.787028,50711.897182,119886.404,7.1,5157.364003,45547.433179,0.476
1000,no_raw,7,0.04925,10.0864,2858.575694,5021.175223,0.95075,0.801949,0.739655,0.693422,1.0,2486.132275,19.567829,101.471339,2365.093107,0.0,0.486848,2103326.797699,51331.007043,119831.652,7.1,5245.304709,46078.602334,0.489
1000,no_raw,99,0.049583,10.154667,2908.274612,5052.950766,0.950417,0.805479,0.739284,0.692449,1.0,2486.134976,19.571995,101.46986,2365.093121,0.0,0.490142,2089189.055417,49965.13784,119717.168,7.1,5150.755588,44807.282252,0.479
1000,static,42,0.151,30.9248,3605.411299,8532.704644,0.849,0.718471,0.427199,0.42704,1.0,679.274521,16.97255,101.786589,514.239372,46.27601,5.463146,187437.781798,19809.74288,30485.868,7.1,7563.229108,12239.413772,0.958
1000,static,7,0.150083,30.737067,3596.621799,8897.692577,0.849917,0.738836,0.428152,0.427834,1.0,684.14373,16.97292,101.786619,519.233023,46.151168,5.391335,189934.405756,19772.192606,30481.918667,7.1,7564.327647,12200.764959,0.955
1000,static,99,0.152417,31.214933,3582.513851,8536.085412,0.847583,0.71911,0.422628,0.422231,1.0,678.086782,16.95517,101.790795,513.034676,46.306142,5.52406,185370.908243,19629.636174,30408.656,7.1,7519.443687,12103.092488,0.957
1000,adaptive,42,0.126458,25.898667,5663.28901,15456.987531,0.873542,0.620802,0.519396,0.518539,1.0,772.162849,17.388566,101.713955,609.15785,43.902478,4.02485,254419.390226,22582.815161,36490.253333,7.1,7569.197125,15006.518036,0.949
1000,adaptive,7,0.128792,26.376533,5583.583254,14567.604978,0.871208,0.616586,0.515048,0.514502,1.0,783.544438,17.376883,101.717504,620.839612,43.610438,4.039572,253492.215366,22413.80467,35997.450667,7.1,7570.516013,14836.188657,0.941
1000,adaptive,99,0.126125,25.8304,5513.644305,14272.638788,0.873875,0.60635,0.522713,0.521624,1.0,771.249738,17.415206,101.709352,608.198761,43.926419,4.018994,254790.134828,22320.561537,36478.624,7.1,7520.121629,14793.339908,0.947
1000,cluster_csv,42,0.1655,33.8944,2964.734038,8095.388434,0.8345,0.682939,0.39906,0.398433,1.0,621.163428,17.266445,101.821092,454.302555,47.773336,6.547919,156385.555859,19189.823129,29641.292,7.1,7568.76251,11613.960618,0.981
1000,cluster_csv,7,0.167458,34.295467,2940.233192,8028.392191,0.832542,0.689843,0.397139,0.396592,1.0,626.845159,17.318318,101.824067,460.073889,47.628885,6.565347,155970.430129,19302.554167,30326.273333,7.1,7606.596026,11688.858141,0.979
1000,cluster_csv,99,0.165625,33.92,2981.311023,7993.162561,0.834375,0.686296,0.401885,0.400717,1.0,626.106821,17.387054,101.820441,459.250006,47.64932,6.501127,157511.150047,19516.229169,31259.694667,7.1,7564.36657,11944.762599,0.982
1000,traffic_split,42,0.155625,31.872,6016.515058,21374.794935,0.844375,0.425164,0.468372,0.467606,1.0,763.251869,17.794157,101.768116,599.548446,44.14115,5.01098,204351.236668,21758.764166,34750.473333,7.1,7544.386677,14207.27749,0.947
1000,traffic_split,7,0.144417,29.576533,5393.157871,15931.782601,0.855583,0.478842,0.476957,0.47649,1.0,749.592754,17.458934,101.753335,585.896997,44.483487,4.734816,216270.269397,21788.747517,34477.316,7.1,7594.532762,14187.114756,0.956
1000,traffic_split,99,0.15325,31.3856,6363.772434,21868.578402,0.84675,0.433307,0.475921,0.475386,1.0,739.3068,17.832389,101.761362,574.957168,44.75588,5.094329,201007.83026,21172.610194,33981.853333,7.1,7524.447335,13641.06286,0.954
1000,laca,42,0.112333,23.005867,6997.497435,20295.466669,0.887667,0.61853,0.502821,0.502222,1.0,682.839531,15.361354,101.687324,519.6447,46.146153,4.042976,253278.7578,19031.350532,27445.528,7.1,7563.785967,11460.464565,0.961
1000,laca,7,0.111917,22.920533,7214.716637,20682.311475,0.888083,0.619626,0.505094,0.504666,1.0,684.932282,15.347587,101.685382,521.807168,46.092145,4.015673,255000.849741,19146.149185,27449.176,7.1,7589.706771,11549.342414,0.961
1000,laca,99,0.112458,23.031467,7001.608509,19490.75536,0.887542,0.603291,0.502781,0.502353,1.0,687.813591,15.344933,101.687769,524.762643,46.018246,4.018205,254840.159871,19101.240788,27471.918667,7.1,7531.11896,11563.021828,0.959
