condition,policy,num_stas,seed,pdr,tput_kbps,avg_delay_ms,p95_delay_ms,drop_rate,fairness,col_rate,retry_rate,assoc_mean_ms,assoc_frac,e_total_mj,ee_kbit_j,elapsed_s
spatial,cluster_csv,100,42,0.9833333333333333,20.13866666666667,689.905869160166,1815.6215561634033,0.01666666666666672,0.9995692749461593,0.26080656846172423,0.26032359333494326,4537.959386666991,1.0,460.21835875330385,52.51072570304436,2.46
spatial,cluster_csv,100,7,0.9870833333333333,20.215466666666668,695.7846694139165,1623.6345636792983,0.012916666666666687,0.9996190086030315,0.2490733876945886,0.2490733876945886,4240.496960000314,1.0,451.23754016663844,53.76006613067146,2.62
spatial,cluster_csv,100,99,0.9833333333333333,20.13866666666667,686.2963568338125,1687.6635579757713,0.01666666666666672,0.9995692749461593,0.26652194886637726,0.2662807525325615,4316.738293333497,1.0,454.9842960466358,53.11480024691434,2.59
spatial,cluster_csv,200,42,0.91875,37.632,1438.1371904593525,3618.2391799087313,0.08125000000000004,0.9937710781808892,0.3818104275509116,0.38170380637594625,10378.857966666861,1.0,609.6740119466377,37.034873649782966,7.19
spatial,cluster_csv,200,7,0.9135416666666667,37.41866666666667,1459.617789074277,3677.5274526095764,0.0864583333333333,0.9930600745767614,0.3871309133241613,0.3870250820192613,10368.6123400002,1.0,613.0079596699693,36.624646786131876,7.35
spatial,cluster_csv,200,99,0.91875,37.632,1469.2914431794738,3706.835686845726,0.08125000000000004,0.9940961786174324,0.38456625864821714,0.3843533794571581,9720.042494977044,1.0,602.816555538879,37.456171023398085,7.23
spatial,cluster_csv,300,42,0.5329166666666667,32.7424,2627.3200448888447,6477.779518688269,0.4670833333333333,0.8656922859814074,0.4872042916190309,0.4863248614897546,17217.720204444755,1.0,700.6940668888603,18.691409873286908,12.29
spatial,cluster_csv,300,7,0.5329166666666667,32.7424,2702.1848430030036,6792.416289382634,0.4670833333333333,0.8754523074727509,0.48747011423005404,0.4871159125121757,16654.64321333366,1.0,691.1746649221936,18.94884269445024,12.05
spatial,cluster_csv,300,99,0.5326388888888889,32.72533333333333,2662.143438330966,6488.25245390957,0.4673611111111111,0.8513638284447378,0.4881709039548023,0.4877295197740113,16801.85621777804,1.0,693.6671911621929,18.870913170048727,12.09
spatial,cluster_csv,400,42,0.3859375,31.616,3143.724292626223,7741.1553253868,0.6140625,0.7626972441382376,0.5012987012987012,0.5001967729240456,24424.371796665764,1.0,792.4268858716247,11.969306151907325,16.56
spatial,cluster_csv,400,7,0.380625,31.180799999999998,3095.0354113125923,7603.035557493682,0.619375,0.7505349192786797,0.5041464559536849,0.5030511657017681,24993.726803331712,1.0,803.7902744499463,11.637662581077308,17.15
spatial,cluster_csv,400,99,0.3790625,31.052799999999998,3175.0675181993647,7879.1198747572225,0.6209374999999999,0.7703144123600996,0.508833922261484,0.5079701609736945,24421.82899999846,1.0,793.144001218286,11.74545856198959,16.39
spatial,cluster_csv,500,42,0.2668333333333333,27.323733333333333,3552.133561822993,9837.249140523172,0.7331666666666667,0.652276235009702,0.5094107705308443,0.5086425443650611,30806.585586663325,1.0,882.1371992159194,7.433873104805869,19.4
spatial,cluster_csv,500,7,0.2645,27.084799999999998,3502.384286808606,9173.657992421808,0.7355,0.6691647957489206,0.5099601593625498,0.5094238430891818,30817.80027199328,1.0,882.16879437585,7.368603425378602,19.23
spatial,cluster_csv,500,99,0.26508333333333334,27.14453333333333,3545.1213324569826,9253.571474498764,0.7349166666666667,0.6467935057048803,0.5073017814817646,0.506766572367918,30950.02694132884,1.0,884.7977169145589,7.362912308044637,19.53
