policy,n,pdr_mean,pdr_ci_lo,pdr_ci_hi,tput_kbps_mean,tput_kbps_ci_lo,tput_kbps_ci_hi,avg_delay_ms_mean,avg_delay_ms_ci_lo,avg_delay_ms_ci_hi,p95_delay_ms_mean,p95_delay_ms_ci_lo,p95_delay_ms_ci_hi,drop_rate_mean,drop_rate_ci_lo,drop_rate_ci_hi,fairness_mean,fairness_ci_lo,fairness_ci_hi,col_rate_mean,col_rate_ci_lo,col_rate_ci_hi,retry_rate_mean,retry_rate_ci_lo,retry_rate_ci_hi,raw_fit_pass_mean,raw_fit_pass_ci_lo,raw_fit_pass_ci_hi,e_total_mj_mean,e_total_mj_ci_lo,e_total_mj_ci_hi,e_sleep_mj_mean,e_sleep_mj_ci_lo,e_sleep_mj_ci_hi,e_idle_mj_mean,e_idle_mj_ci_lo,e_idle_mj_ci_hi,ee_kbit_j_mean,ee_kbit_j_ci_lo,ee_kbit_j_ci_hi,e_per_pkt_uj_mean,e_per_pkt_uj_ci_lo,e_per_pkt_uj_ci_hi
static,1000,0.147528,0.141672,0.153384,30.213689,29.014391,31.412987,3694.772887,3505.291708,3884.254067,8967.240564,8821.235734,9113.245393,0.852472,0.846616,0.858328,0.712497,0.703382,0.721612,0.433796,0.424913,0.442679,0.433532,0.424689,0.442376,1.0,1.0,1.0,602.940658,593.839901,612.041414,48.233721,48.000655,48.466787,435.929142,426.606589,445.251696,6.013742,5.69512,6.332364,170328.721436,161233.27428,179424.168592
laca,100,1.0,1.0,1.0,20.48,20.48,20.48,686.89413,681.594628,692.193633,1682.78005,1584.277247,1781.282853,0.0,0.0,0.0,1.0,1.0,1.0,0.18288,0.158356,0.207404,0.18288,0.158356,0.207404,1.0,1.0,1.0,447.63034,437.73801,457.52267,53.129985,52.918109,53.341862,235.270262,227.000608,243.539916,54.905341,53.691871,56.118811,18651.264177,18239.083752,19063.444603
laca,200,0.939792,0.933823,0.945761,38.493867,38.24938,38.738353,1909.271625,1796.432313,2022.110937,4632.241862,4434.013093,4830.47063,0.060208,0.054239,0.066177,0.99176,0.986538,0.996982,0.352262,0.348283,0.356242,0.352221,0.348347,0.356096,1.0,1.0,1.0,533.331362,530.539483,536.123242,51.196976,51.134788,51.259164,311.328938,308.885757,313.77212,43.305855,42.988025,43.623686,23645.90045,23472.649436,23819.151464
laca,400,0.383507,0.379622,0.387392,31.416889,31.098658,31.73512,3749.320755,3554.868639,3943.772871,9313.477851,8797.060491,9829.895211,0.616493,0.612608,0.620378,0.752106,0.741016,0.763196,0.481763,0.479527,0.483999,0.481278,0.478926,0.483631,1.0,1.0,1.0,479.342441,470.680847,488.004035,51.879409,51.659224,52.099594,287.688869,278.892339,296.485398,19.662839,19.462163,19.863514,52078.518637,51546.830764,52610.20651
laca,600,0.222361,0.213809,0.230913,27.323733,26.272904,28.374562,4974.480898,4850.944156,5098.017639,13134.54787,12691.865792,13577.229948,0.777639,0.769087,0.786191,0.654995,0.636773,0.673217,0.507305,0.494047,0.520563,0.506951,0.494443,0.519459,1.0,1.0,1.0,501.72298,497.725943,505.720016,51.02098,50.917736,51.124224,323.480321,319.344578,327.616065,10.892266,10.412365,11.372167,94031.268096,89910.94669,98151.589502
laca,800,0.149705,0.146599,0.152811,24.527644,24.018705,25.036584,5911.751184,5691.651771,6131.850597,16410.37965,14501.203436,18319.555864,0.850295,0.847189,0.853401,0.614543,0.609681,0.619404,0.512438,0.504874,0.520002,0.512166,0.505003,0.51933,1.0,1.0,1.0,551.950619,547.989487,555.911752,49.589342,49.486403,49.69228,381.476961,377.354324,385.599597,6.665649,6.574117,6.75718,153626.573721,151523.681895,155729.465547
laca,1000,0.110889,0.108658,0.113119,22.710044,22.253225,23.166864,7274.247754,7235.976121,7312.519387,21491.662748,20497.543577,22485.781918,0.889111,0.886881,0.891342,0.612105,0.607516,0.616693,0.508142,0.505759,0.510526,0.507887,0.505112,0.510661,1.0,1.0,1.0,615.623524,611.648596,619.598452,47.869908,47.76818,47.971637,450.693373,446.625054,454.761693,4.426717,4.354473,4.49896,231329.355918,227540.115125,235118.596711
tabular,100,0.940278,0.729868,1.150687,19.256889,14.9477,23.566078,1179.636178,372.592179,1986.680178,3460.805662,603.603988,6318.007335,0.059722,-0.150687,0.270132,0.997543,0.988653,1.006432,0.277115,0.156434,0.397796,0.277115,0.156434,0.397796,1.0,1.0,1.0,444.44326,403.257716,485.628804,53.302021,52.257762,54.346279,227.975176,186.169935,269.780417,52.096183,37.589195,66.603171,19828.224577,14092.460242,25563.988911
tabular,200,0.823542,0.686198,0.960885,33.732267,28.106675,39.357858,2061.971138,1716.293524,2407.648753,5431.977041,4488.434296,6375.519787,0.176458,0.039115,0.313802,0.978441,0.953649,1.003233,0.422305,0.30186,0.54275,0.422263,0.301746,0.54278,1.0,1.0,1.0,489.397957,434.561868,544.234046,52.321478,50.820274,53.822681,266.407202,205.935681,326.878724,41.331872,38.573177,44.090567,24786.814863,23157.67199,26415.957737
tabular,400,0.436389,0.334536,0.538242,35.748978,27.405202,44.092753,4020.21901,3418.172948,4622.265072,10003.196271,7473.839795,12532.552747,0.563611,0.461758,0.665464,0.809798,0.719114,0.900482,0.425893,0.358795,0.49299,0.425791,0.358605,0.492978,1.0,1.0,1.0,451.805385,440.119888,463.490882,52.589085,52.311521,52.866648,259.260997,248.153574,270.368421,23.741777,18.039822,29.443733,43407.420606,32727.309793,54087.53142
tabular,600,0.27831,0.233752,0.322868,34.198756,28.723433,39.674078,4858.458881,3966.309083,5750.60868,12637.625943,9007.878584,16267.373301,0.72169,0.677132,0.766248,0.7054,0.63407,0.776731,0.44551,0.355509,0.535511,0.445389,0.355607,0.535172,1.0,1.0,1.0,480.224841,407.529798,552.919884,51.603229,49.795071,53.411386,300.014695,227.95197,372.077421,14.293505,10.480609,18.1064,72165.332364,53961.215231,90369.449497
tabular,800,0.17901,0.108958,0.249062,29.329067,17.851752,40.806382,8081.210602,1027.911979,15134.509225,25109.320496,-5790.528504,56009.169496,0.82099,0.750938,0.891042,0.692794,0.66251,0.723078,0.43045,0.374832,0.486067,0.43045,0.374832,0.486067,1.0,1.0,1.0,487.623428,411.017743,564.229113,51.212953,49.373644,53.052263,316.645407,243.697307,389.593507,9.000625,6.253748,11.747501,114906.634003,80340.952718,149472.315288
tabular,1000,0.133569,0.09033,0.176809,27.355022,18.499633,36.210411,8725.028878,6406.926471,11043.131285,24754.168009,15312.600953,34195.735065,0.866431,0.823191,0.90967,0.666519,0.59569,0.737349,0.45273,0.427612,0.477848,0.45273,0.427612,0.477848,1.0,1.0,1.0,552.418434,484.002438,620.83443,49.484836,47.719052,51.25062,386.114614,315.419555,456.809674,5.958592,3.677593,8.239591,174504.664245,110169.011361,238840.317128
tab_ddqn,100,0.995556,0.982906,1.008205,20.388978,20.129913,20.648042,1051.312713,902.748808,1199.876618,2770.065163,1853.484907,3686.645419,0.004444,-0.008205,0.017094,0.999838,0.999387,1.000289,0.218403,0.029175,0.407631,0.218403,0.029175,0.407631,1.0,1.0,1.0,413.221102,251.491382,574.950823,54.080074,50.276906,57.883243,196.937746,46.480045,347.395447,60.271116,35.166783,85.375448,17286.24279,10697.138014,23875.347565
tab_ddqn,200,0.752917,0.452115,1.053719,30.839467,18.518618,43.160315,2148.834459,1770.591307,2527.07761,5397.105123,4042.438485,6751.771762,0.247083,-0.053719,0.547885,0.959891,0.869699,1.050083,0.449948,0.22941,0.670485,0.449658,0.230084,0.669232,1.0,1.0,1.0,478.893637,455.551587,502.235688,52.540182,51.877183,53.20318,257.935982,231.220176,284.651789,38.575132,24.699935,52.45033,26926.785441,17082.021151,36771.549731
tab_ddqn,400,0.362743,0.262573,0.462913,29.715911,21.509953,37.921869,4048.721788,3461.543542,4635.900035,10232.384561,9496.629319,10968.139803,0.637257,0.537087,0.737427,0.764181,0.739078,0.789284,0.474134,0.426804,0.521464,0.473915,0.426637,0.521193,1.0,1.0,1.0,458.071549,445.196897,470.946201,52.373533,51.93219,52.814877,268.181554,249.928751,286.434356,19.477056,13.653155,25.300958,53122.93036,36142.270643,70103.590077
