condition,policy,num_stas,n_seeds,pdr_mean,pdr_ci_lo,pdr_ci_hi,tput_kbps_mean,tput_kbps_ci_lo,tput_kbps_ci_hi,avg_delay_ms_mean,avg_delay_ms_ci_lo,avg_delay_ms_ci_hi,p95_delay_ms_mean,p95_delay_ms_ci_lo,p95_delay_ms_ci_hi,drop_rate_mean,drop_rate_ci_lo,drop_rate_ci_hi,fairness_mean,fairness_ci_lo,fairness_ci_hi,col_rate_mean,col_rate_ci_lo,col_rate_ci_hi,retry_rate_mean,retry_rate_ci_lo,retry_rate_ci_hi,assoc_mean_ms_mean,assoc_mean_ms_ci_lo,assoc_mean_ms_ci_hi,assoc_frac_mean,assoc_frac_ci_lo,assoc_frac_ci_hi,e_total_mj_mean,e_total_mj_ci_lo,e_total_mj_ci_hi,ee_kbit_j_mean,ee_kbit_j_ci_lo,ee_kbit_j_ci_hi
spatial,cluster_adaptive,400,3,0.392639,0.389403,0.395875,32.164978,31.899911,32.430045,2976.72233,2892.135378,3061.309281,7510.885593,7314.788007,7706.983178,0.607361,0.604125,0.610597,0.790445,0.765802,0.815088,0.508245,0.50784,0.508651,0.507552,0.506828,0.508275,20901.577438,18564.459402,23238.695473,1.0,1.0,1.0,723.266343,679.961262,766.571425,13.347194,12.471849,14.22254
spatial,cluster_adaptive,500,3,0.279944,0.27314,0.286749,28.666311,27.969511,29.363111,3331.146769,3306.305916,3355.987622,8551.600965,8268.340744,8834.861185,0.720056,0.713251,0.72686,0.709936,0.684482,0.73539,0.516508,0.50575,0.527266,0.515946,0.50523,0.526661,27175.774525,26604.769219,27746.779831,1.0,1.0,1.0,813.423026,802.85867,823.987383,8.458029,8.262988,8.653069
spatial,cluster_adaptive,600,3,0.2125,0.209277,0.215723,26.112,25.715957,26.508043,3701.120492,3558.011642,3844.229342,9455.444713,9068.560805,9842.328622,0.7875,0.784277,0.790723,0.701296,0.668176,0.734417,0.527242,0.52482,0.529664,0.526579,0.52449,0.528669,32712.378136,32522.821371,32901.934901,1.0,1.0,1.0,899.995856,895.690479,904.301232,5.80275,5.688357,5.917143
spatial,cluster_adaptive,800,3,0.132917,0.130391,0.135442,21.777067,21.363265,22.190868,4551.375262,4315.479183,4787.271341,13436.584737,12814.18512,14058.984354,0.867083,0.864558,0.869609,0.693394,0.681355,0.705434,0.52483,0.523868,0.525793,0.524413,0.52306,0.525765,44362.788047,44079.217414,44646.358681,1.0,1.0,1.0,1096.551211,1091.509155,1101.593267,2.978919,2.935478,3.022361
spatial,cluster_adaptive,1000,3,0.092472,0.091161,0.093783,18.938311,18.669875,19.206747,5245.449349,5105.799665,5385.099034,16188.516844,15191.818007,17185.215681,0.907528,0.906217,0.908839,0.697924,0.669873,0.725976,0.513806,0.511747,0.515866,0.513028,0.510914,0.515142,57831.426145,56791.031888,58871.820402,0.989,0.949956,1.028044,1350.361547,1316.028746,1384.694348,1.683069,1.635081,1.731056
random,cluster_csv,100,3,0.984583,0.979205,0.989962,20.164267,20.05411,20.274423,690.662298,678.764378,702.560219,1708.973226,1466.125795,1951.820657,0.015417,0.010038,0.020795,0.999586,0.999515,0.999657,0.258801,0.236701,0.2809,0.258559,0.23685,0.280268,4365.06488,3981.21599,4748.91377,1.0,1.0,1.0,455.480065,444.273492,466.686638,53.128531,51.576357,54.680704
random,cluster_csv,200,3,0.917014,0.909543,0.924484,37.560889,37.254898,37.86688,1455.682141,1416.067745,1495.296537,3667.534106,3555.40165,3779.666563,0.082986,0.075516,0.090457,0.993642,0.992326,0.994959,0.384503,0.377892,0.391113,0.384361,0.377751,0.390971,10155.837601,9218.138061,11093.537141,1.0,1.0,1.0,608.499509,595.590324,621.408694,37.038564,36.00564,38.071488
random,cluster_csv,300,3,0.532824,0.532426,0.533223,32.736711,32.712232,32.76119,2663.882775,2570.812772,2756.952778,6586.149421,6142.175617,7030.123224,0.467176,0.466777,0.467574,0.864169,0.834069,0.89427,0.487615,0.486375,0.488856,0.487057,0.485307,0.488806,16891.406545,16165.918659,17616.894431,1.0,1.0,1.0,695.178641,682.914937,707.442345,18.837055,18.509088,19.165023
random,cluster_csv,400,3,0.381875,0.372922,0.390828,31.2832,30.54974,32.01666,3137.942407,3037.753721,3238.131094,7741.103586,7398.160159,8084.047013,0.618125,0.609172,0.627078,0.761182,0.736397,0.785967,0.50476,0.495307,0.514212,0.503739,0.493971,0.513508,24613.3092,23794.834632,25431.783768,1.0,1.0,1.0,796.453721,780.64401,812.263431,11.784142,11.363862,12.204423
random,cluster_csv,500,3,0.265472,0.262455,0.268489,27.184356,26.875441,27.49327,3533.21306,3466.315465,3600.110656,9421.492869,8521.502138,10321.483601,0.734528,0.731511,0.737545,0.656078,0.62711,0.685046,0.508891,0.505404,0.512377,0.508278,0.504885,0.511671,30858.1376,30659.947496,31056.327704,1.0,1.0,1.0,883.03457,879.240957,886.828183,7.388463,7.290508,7.486418
