mode,n,episode,seed,pdr,qtable_states,epsilon,episode_count,update_count
tabular_ddqn,400,15,233,0.48333333333333334,49,0.05,16,241
tabular_ddqn,400,16,377,0.4778125,50,0.05,17,241
tabular_ddqn,400,17,610,0.5188541666666666,50,0.05,18,241
tabular_ddqn,400,18,987,0.49291666666666667,50,0.05,19,241
tabular_ddqn,400,19,1597,0.5054166666666666,50,0.05,20,241
tabular_ddqn,400,20,2584,0.4815625,50,0.05,21,241
tabular_ddqn,600,1,0,0.2848611111111111,18,0.05,2,241
tabular_ddqn,600,2,100,0.2864583333333333,24,0.05,3,241
tabular_ddqn,600,3,200,0.29493055555555553,26,0.05,4,241
tabular_ddqn,800,1,0,0.19630208333333332,22,0.05,2,241
tabular_ddqn,800,2,100,0.1915625,37,0.05,3,241
tabular_ddqn,800,3,200,0.19052083333333333,38,0.05,4,241
tabular_ddqn,1000,1,0,0.13020833333333334,26,0.05,2,241
tabular_ddqn,1000,2,100,0.15154166666666666,38,0.05,3,241
tabular_ddqn,1000,3,200,0.15641666666666668,39,0.05,4,241
tabular_ddqn,1000,4,300,0.18445833333333334,41,0.05,5,241
tabular_ddqn,1000,5,400,0.19208333333333333,42,0.05,6,241
tabular_ddqn,1000,6,13,0.18554166666666666,43,0.05,7,241
dqn,100,1,0,0.9245833333333333,0,0.05,2,241
dqn,100,2,100,0.9866666666666667,0,0.05,3,241
dqn,100,3,200,0.9816666666666667,0,0.05,4,241
dqn,100,4,300,0.90625,0,0.05,5,241
dqn,100,5,400,0.9783333333333334,0,0.05,6,241
dqn,100,6,13,0.9133333333333333,0,0.05,7,241
dqn,100,7,77,0.995,0,0.05,8,241
dqn,100,8,31,1.0,0,0.05,9,241
dqn,100,9,55,0.99,0,0.05,10,241
dqn,100,10,88,0.97875,0,0.05,11,241
dqn,100,11,21,0.9595833333333333,0,0.05,12,241
dqn,100,12,34,0.9804166666666667,0,0.05,13,241
dqn,100,13,89,1.0,0,0.05,14,241
dqn,100,14,144,0.9829166666666667,0,0.05,15,241
dqn,100,15,233,0.99875,0,0.05,16,241
dqn,100,16,377,0.98875,0,0.05,17,241
dqn,100,17,610,0.9983333333333333,0,0.05,18,241
dqn,100,18,987,1.0,0,0.05,19,241
dqn,200,1,0,0.5647916666666667,0,0.05,2,241
dqn,200,2,100,0.7902083333333333,0,0.05,3,241
dqn,200,3,200,0.6379166666666667,0,0.05,4,241
dqn,200,4,300,0.7175,0,0.05,5,241
dqn,200,5,400,0.5314583333333334,0,0.05,6,241
dqn,200,6,13,0.6297916666666666,0,0.05,7,241
dqn,200,7,77,0.8489583333333334,0,0.05,8,241
dqn,200,8,31,0.7722916666666667,0,0.05,9,241
dqn,200,9,55,0.5595833333333333,0,0.05,10,241
dqn,200,10,88,0.7625,0,0.05,11,241
dqn,200,11,21,0.6879166666666666,0,0.05,12,241
dqn,200,12,34,0.8433333333333334,0,0.05,13,241
dqn,200,13,89,0.7195833333333334,0,0.05,14,241
dqn,200,14,144,0.9127083333333333,0,0.05,15,241
dqn,200,15,233,0.8852083333333334,0,0.05,16,241
dqn,200,16,377,0.8466666666666667,0,0.05,17,241
dqn,200,17,610,0.8904166666666666,0,0.05,18,241
dqn,200,18,987,0.9004166666666666,0,0.05,19,241
dqn,200,19,1597,0.744375,0,0.05,20,241
dqn,200,20,2584,0.8866666666666667,0,0.05,21,241
dqn,400,1,0,0.45416666666666666,0,0.05,2,241
dqn,400,2,100,0.456875,0,0.05,3,241
dqn,400,3,200,0.5080208333333334,0,0.05,4,241
