N,offered_kbps,bianchi_sat_kbps,sim_dcf_tput_kbps,raw_cap_kbps,sim_raw_tput_kbps,p_collision,p_frame_drop
10,2.05,49.76,2.05,16.38,2.05,0.5,0.007813
25,5.12,64.36,5.12,16.38,4.08,0.5175,0.009946
50,10.24,58.32,10.24,16.38,4.08,0.6029,0.028951
75,15.36,54.48,15.36,16.38,4.09,0.6513,0.049736
100,20.48,51.56,12.06,16.38,4.09,0.6854,0.071045
150,30.72,47.1,10.4,16.38,8.16,0.733,0.113721
200,40.96,43.65,10.23,16.38,8.16,0.7666,0.155575
